Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
BHZ;SAO;BHZ_SAO;10,74%;10,17%;48,66%;0,00%;0,00%;11,42%;0,00%;19,00%;100,00%
BHZ;SAO;DIV_SAO;0,00%;9,14%;43,71%;0,00%;17,89%;10,26%;0,00%;19,00%;100,00%
BHZ;SAO;JDF_SAO;0,00%;6,54%;31,29%;0,00%;35,82%;7,34%;0,00%;19,00%;100,00%
UDI;SAO;UDI_SAO;10,86%;13,09%;57,05%;0,00%;0,00%;0,00%;0,00%;19,00%;100,00%
VIX;SAO;VIX_SAO;7,26%;10,15%;39,84%;10,54%;0,00%;13,21%;0,00%;19,00%;100,00%
GYN;SAO;GYN_SAO;13,70%;10,15%;41,40%;0,00%;0,00%;15,75%;0,00%;19,00%;100,00%
BSB;SAO;BSB_SAO;10,52%;8,03%;46,57%;0,00%;0,00%;13,70%;2,18%;19,00%;100,00%
BSB;SAO;CGR_SAO;56,07%;4,93%;12,62%;0,00%;0,00%;7,38%;0,00%;19,00%;100,00%
BSB;SAO;CGB_SAO;50,36%;3,83%;16,55%;0,00%;0,00%;9,22%;1,04%;19,00%;100,00%
SSA;SAO;SSA_SAO;13,37%;8,19%;39,72%;0,00%;0,00%;19,71%;0,00%;19,00%;100,00%
FES;SAO;FES_SAO;6,16%;10,99%;37,77%;0,00%;0,00%;26,08%;0,00%;19,00%;100,00%
FES;SAO;ITN_SAO;0,00%;6,26%;21,53%;0,00%;38,34%;14,87%;0,00%;19,00%;100,00%
FES;SAO;VDC_SAO;0,00%;5,73%;19,69%;0,00%;41,98%;13,60%;0,00%;19,00%;100,00%
BSB;SAO;PMW_SAO;0,00%;4,69%;27,19%;0,00%;39,85%;8,00%;1,27%;19,00%;100,00%
AJU;SAO;AJU_SAO;16,99%;7,59%;33,21%;0,00%;0,00%;23,20%;0,00%;19,00%;100,00%
MCZ;SAO;MCZ_SAO;10,04%;7,86%;37,95%;0,00%;0,00%;25,15%;0,00%;19,00%;100,00%
REC;SAO;CAU_SAO;0,00%;5,16%;22,56%;0,00%;35,33%;17,96%;0,00%;19,00%;100,00%
REC;SAO;PNZ_SAO;0,00%;4,88%;21,35%;0,00%;37,79%;16,99%;0,00%;19,00%;100,00%
REC;SAO;REC_SAO;12,59%;7,72%;33,79%;0,00%;0,00%;26,89%;0,00%;19,00%;100,00%
JPA;SAO;JPA_SAO;8,57%;8,05%;34,88%;0,00%;0,00%;29,50%;0,00%;19,00%;100,00%
NAT;SAO;NAT_SAO;9,94%;7,22%;36,12%;0,00%;0,00%;27,72%;0,00%;19,00%;100,00%
FOR;SAO;FOR_SAO;11,22%;7,68%;33,31%;0,00%;0,00%;28,79%;0,00%;19,00%;100,00%
FOR;SAO;IMP_SAO;0,00%;4,68%;20,29%;0,00%;38,49%;17,54%;0,00%;19,00%;100,00%
FOR;SAO;SLZ_SAO;0,00%;4,82%;20,90%;0,00%;37,22%;18,06%;0,00%;19,00%;100,00%
FOR;SAO;THE_SAO;0,00%;4,71%;20,44%;0,00%;38,18%;17,67%;0,00%;19,00%;100,00%
BEL;SAO;BEL_SAO;11,85%;9,06%;49,39%;0,00%;0,00%;8,23%;2,46%;19,00%;100,00%
CPQ;CPQ;SJK_SJK;0,00%;0,00%;19,11%;0,00%;61,89%;0,00%;0,00%;19,00%;100,00%
SAO;CPQ;SAO_SJK;7,86%;44,99%;20,11%;3,79%;0,00%;1,98%;2,27%;19,00%;100,00%
SAO;CPQ;SSZ_SJK;0,00%;28,54%;12,75%;0,00%;36,86%;1,26%;1,59%;19,00%;100,00%
RAO;CPQ;RAO_SJK;12,43%;42,72%;9,48%;8,12%;0,00%;3,59%;4,65%;19,00%;100,00%
BAU;CPQ;BAU_SJK;13,03%;37,55%;13,54%;8,84%;0,00%;3,47%;4,58%;19,00%;100,00%
CPQ;CPQ;CPQ_SJK;10,55%;39,23%;12,11%;15,84%;0,00%;0,00%;3,27%;19,00%;100,00%
SJP;CPQ;PPB_SJK;0,00%;26,17%;24,99%;0,00%;21,40%;3,52%;4,92%;19,00%;100,00%
SJP;CPQ;SJP_SJK;5,70%;30,65%;29,27%;6,79%;0,00%;4,13%;4,46%;19,00%;100,00%
CPQ;CPQ;SOD_SJK;0,00%;37,61%;11,61%;0,00%;29,21%;0,00%;2,57%;19,00%;100,00%
LDB;CPQ;CAC_SJK;0,00%;34,05%;6,81%;0,00%;27,55%;4,64%;7,95%;19,00%;100,00%
LDB;CPQ;LDB_SJK;8,81%;44,77%;8,96%;4,63%;0,00%;6,10%;7,74%;19,00%;100,00%
BHZ;CPQ;PSA_SJK;0,00%;22,94%;8,91%;0,00%;33,32%;3,15%;12,68%;19,00%;100,00%
CWB;CPQ;CWB_SJK;9,20%;42,28%;9,22%;15,23%;0,00%;5,07%;0,00%;19,00%;100,00%
RIO;CPQ;CAW_SJK;0,00%;33,94%;10,64%;0,00%;30,86%;5,56%;0,00%;19,00%;100,00%
RIO;CPQ;RIO_SJK;15,38%;44,42%;13,92%;0,00%;0,00%;7,28%;0,00%;19,00%;100,00%
JOI;CPQ;JOI_SJK;7,31%;48,79%;11,52%;6,65%;0,00%;6,73%;0,00%;19,00%;100,00%
UDI;CPQ;UDI_SJK;7,39%;51,01%;16,04%;0,00%;0,00%;6,55%;0,00%;19,00%;100,00%
BHZ;CPQ;BHZ_SJK;8,73%;47,36%;18,40%;0,00%;0,00%;6,51%;0,00%;19,00%;100,00%
BHZ;CPQ;DIV_SJK;0,00%;43,37%;16,85%;0,00%;14,82%;5,96%;0,00%;19,00%;100,00%
BHZ;CPQ;JDF_SJK;0,00%;32,63%;12,68%;0,00%;31,20%;4,49%;0,00%;19,00%;100,00%
BNU;CPQ;BNU_SJK;6,56%;49,28%;13,88%;4,20%;0,00%;7,09%;0,00%;19,00%;100,00%
ITJ;CPQ;ITJ_SJK;0,00%;52,83%;12,47%;0,00%;8,41%;7,28%;0,00%;19,00%;100,00%
MGF;CPQ;MGF_SJK;4,52%;33,60%;23,52%;10,04%;0,00%;7,63%;1,70%;19,00%;100,00%
FLN;CPQ;FLN_SJK;5,48%;34,79%;20,13%;11,93%;0,00%;6,82%;1,84%;19,00%;100,00%
FLN;CPQ;LAJ_SJK;0,00%;27,18%;15,73%;3,70%;26,56%;5,33%;2,50%;19,00%;100,00%
FLN;CPQ;CCM_SJK;0,00%;24,56%;14,21%;3,35%;31,62%;4,82%;2,44%;19,00%;100,00%
VIX;CPQ;VIX_SJK;6,04%;48,34%;11,53%;4,70%;0,00%;10,38%;0,00%;19,00%;100,00%
BSB;CPQ;BSB_SJK;10,91%;47,69%;12,27%;0,00%;0,00%;10,13%;0,00%;19,00%;100,00%
BSB;CPQ;CGB_SJK;51,23%;22,28%;0,00%;0,00%;0,00%;7,48%;0,00%;19,00%;100,00%
BSB;CPQ;CGR_SJK;42,46%;21,38%;9,55%;0,00%;0,00%;6,53%;1,08%;19,00%;100,00%
BSB;CPQ;PMW_SJK;0,00%;27,42%;7,06%;0,00%;40,70%;5,82%;0,00%;19,00%;100,00%
FLN;CPQ;XAP_SJK;0,00%;28,48%;16,48%;0,00%;26,42%;5,59%;4,03%;19,00%;100,00%
CXJ;CPQ;CXJ_SJK;9,22%;35,22%;16,93%;7,97%;0,00%;9,88%;1,78%;19,00%;100,00%
POA;CPQ;POA_SJK;5,85%;37,84%;22,01%;0,00%;0,00%;10,50%;4,80%;19,00%;100,00%
GYN;CPQ;GYN_SJK;8,25%;35,01%;24,94%;0,00%;0,00%;11,03%;1,77%;19,00%;100,00%
FES;CPQ;FES_SJK;4,83%;49,34%;7,57%;0,00%;0,00%;19,26%;0,00%;19,00%;100,00%
FES;CPQ;ITN_SJK;0,00%;31,01%;4,76%;0,00%;33,13%;12,10%;0,00%;19,00%;100,00%
FES;CPQ;VDC_SJK;0,00%;28,69%;4,40%;0,00%;36,71%;11,20%;0,00%;19,00%;100,00%
SSA;CPQ;SSA_SJK;8,72%;30,61%;25,91%;0,00%;0,00%;14,20%;1,55%;19,00%;100,00%
AJU;CPQ;AJU_SJK;14,28%;36,51%;11,59%;0,00%;0,00%;18,62%;0,00%;19,00%;100,00%
REC;CPQ;PNZ_SJK;0,00%;21,20%;16,21%;0,00%;28,69%;13,83%;1,07%;19,00%;100,00%
MCZ;CPQ;MCZ_SJK;8,39%;37,60%;14,90%;0,00%;0,00%;20,11%;0,00%;19,00%;100,00%
REC;CPQ;CAU_SJK;0,00%;22,11%;16,90%;0,00%;26,46%;14,42%;1,12%;19,00%;100,00%
JPA;CPQ;JPA_SJK;7,13%;38,36%;11,88%;0,00%;0,00%;23,63%;0,00%;19,00%;100,00%
REC;CPQ;REC_SJK;8,38%;29,43%;22,50%;0,00%;0,00%;19,20%;1,49%;19,00%;100,00%
NAT;CPQ;NAT_SJK;8,42%;35,00%;14,94%;0,00%;0,00%;22,63%;0,00%;19,00%;100,00%
FOR;CPQ;FOR_SJK;9,31%;36,47%;11,34%;0,00%;0,00%;23,88%;0,00%;19,00%;100,00%
FOR;CPQ;IMP_SJK;0,00%;23,80%;7,40%;0,00%;34,21%;15,59%;0,00%;19,00%;100,00%
FOR;CPQ;SLZ_SJK;0,00%;24,43%;7,60%;0,00%;32,97%;16,00%;0,00%;19,00%;100,00%
FOR;CPQ;THE_SJK;0,00%;23,96%;7,45%;0,00%;33,90%;15,69%;0,00%;19,00%;100,00%
BEL;CPQ;BEL_SJK;12,35%;54,09%;10,60%;0,00%;0,00%;3,96%;0,00%;19,00%;100,00%
SJP;SJP;SJP_SJP;11,06%;0,00%;56,78%;13,16%;0,00%;0,00%;0,00%;19,00%;100,00%
CPQ;SJP;CPQ_SJP;8,45%;5,84%;39,70%;19,64%;0,00%;3,68%;3,68%;19,00%;100,00%
CPQ;SJP;SJK_SJP;0,00%;5,14%;34,89%;6,11%;27,61%;3,23%;4,02%;19,00%;100,00%
CPQ;SJP;SOD_SJP;0,00%;5,60%;38,03%;6,66%;23,37%;3,53%;3,82%;19,00%;100,00%
SAO;SJP;SAO_SJP;4,56%;4,86%;44,71%;18,54%;0,00%;4,21%;4,11%;19,00%;100,00%
BHZ;SJP;PSA_SJP;0,00%;3,10%;27,58%;10,44%;24,25%;4,25%;11,38%;19,00%;100,00%
SAO;SJP;SSZ_SJP;0,00%;3,63%;33,39%;12,20%;25,21%;3,15%;3,43%;19,00%;100,00%
SJP;SJP;PPB_SJP;0,00%;7,35%;37,72%;0,00%;32,30%;0,00%;3,63%;19,00%;100,00%
RAO;SJP;RAO_SJP;7,61%;4,87%;38,86%;21,33%;0,00%;5,26%;3,06%;19,00%;100,00%
BAU;SJP;BAU_SJP;8,27%;4,43%;38,71%;20,51%;0,00%;4,99%;4,09%;19,00%;100,00%
CWB;SJP;CWB_SJP;5,47%;4,67%;37,22%;24,75%;0,00%;5,95%;2,94%;19,00%;100,00%
BHZ;SJP;DIV_SJP;0,00%;4,74%;42,12%;15,94%;8,72%;6,49%;2,99%;19,00%;100,00%
RIO;SJP;RIO_SJP;8,50%;4,57%;38,71%;19,46%;0,00%;6,90%;2,88%;19,00%;100,00%
BHZ;SJP;JDF_SJP;0,00%;3,97%;35,30%;13,36%;20,43%;5,44%;2,50%;19,00%;100,00%
JOI;SJP;JOI_SJP;4,09%;5,07%;40,91%;20,77%;0,00%;6,96%;3,20%;19,00%;100,00%
LDB;SJP;LDB_SJP;5,19%;4,91%;38,63%;19,23%;0,00%;6,69%;6,35%;19,00%;100,00%
UDI;SJP;UDI_SJP;3,88%;4,98%;42,25%;20,18%;0,00%;6,57%;3,14%;19,00%;100,00%
BHZ;SJP;BHZ_SJP;4,63%;4,67%;41,49%;20,88%;0,00%;6,39%;2,94%;19,00%;100,00%
ITJ;SJP;ITJ_SJP;0,00%;5,30%;42,74%;17,82%;4,54%;7,27%;3,34%;19,00%;100,00%
FLN;SJP;FLN_SJP;3,51%;4,14%;41,03%;21,56%;0,00%;6,98%;3,79%;19,00%;100,00%
RIO;SJP;CAW_SJP;0,00%;4,08%;34,57%;13,70%;19,93%;6,16%;2,57%;19,00%;100,00%
FLN;SJP;LAJ_SJP;0,00%;3,51%;34,79%;14,38%;18,46%;5,92%;3,95%;19,00%;100,00%
FLN;SJP;CCM_SJP;0,00%;3,27%;32,39%;13,39%;22,64%;5,51%;3,81%;19,00%;100,00%
LDB;SJP;CAC_SJP;0,00%;4,10%;32,24%;13,77%;17,82%;5,58%;7,50%;19,00%;100,00%
VIX;SJP;VIX_SJP;3,39%;5,05%;40,77%;19,60%;0,00%;9,01%;3,18%;19,00%;100,00%
FLN;SJP;XAP_SJP;0,00%;3,51%;34,79%;14,38%;17,52%;5,92%;4,88%;19,00%;100,00%
CXJ;SJP;CXJ_SJP;5,89%;4,19%;39,26%;19,17%;0,00%;8,95%;3,54%;19,00%;100,00%
BNU;SJP;BNU_SJP;3,65%;5,10%;42,39%;19,49%;0,00%;7,16%;3,21%;19,00%;100,00%
MGF;SJP;MGF_SJP;4,88%;6,75%;55,07%;0,00%;0,00%;10,04%;4,25%;19,00%;100,00%
BSB;SJP;BSB_SJP;7,78%;6,32%;51,71%;0,00%;0,00%;11,21%;3,98%;19,00%;100,00%
BSB;SJP;CGR_SJP;36,05%;3,38%;31,05%;0,00%;0,00%;7,67%;2,85%;19,00%;100,00%
POA;SJP;POA_SJP;4,43%;5,33%;52,92%;0,00%;0,00%;11,32%;6,99%;19,00%;100,00%
GYN;SJP;GYN_SJP;6,39%;5,04%;53,58%;0,00%;0,00%;11,72%;4,26%;19,00%;100,00%
FES;SJP;VDC_SJP;0,00%;4,30%;32,73%;0,00%;29,55%;11,72%;2,71%;19,00%;100,00%
FES;SJP;ITN_SJP;0,00%;4,57%;34,82%;0,00%;26,26%;12,47%;2,88%;19,00%;100,00%
BSB;SJP;CGB_SJP;43,12%;3,49%;23,70%;0,00%;0,00%;8,49%;2,20%;19,00%;100,00%
BSB;SJP;PMW_SJP;0,00%;4,14%;33,86%;0,00%;33,05%;7,34%;2,61%;19,00%;100,00%
FES;SJP;FES_SJP;3,41%;6,48%;49,35%;0,00%;0,00%;17,68%;4,08%;19,00%;100,00%
SSA;SJP;SSA_SJP;6,95%;4,54%;51,49%;0,00%;0,00%;14,18%;3,83%;19,00%;100,00%
AJU;SJP;AJU_SJP;10,91%;5,19%;44,12%;0,00%;0,00%;17,50%;3,27%;19,00%;100,00%
REC;SJP;PNZ_SJP;0,00%;3,35%;36,56%;0,00%;24,39%;13,87%;2,83%;19,00%;100,00%
MCZ;SJP;MCZ_SJP;6,37%;5,31%;47,37%;0,00%;0,00%;18,61%;3,34%;19,00%;100,00%
FOR;SJP;IMP_SJP;0,00%;3,69%;31,21%;0,00%;28,48%;15,30%;2,32%;19,00%;100,00%
FOR;SJP;THE_SJP;0,00%;3,71%;31,38%;0,00%;28,20%;15,38%;2,33%;19,00%;100,00%
REC;SJP;CAU_SJP;0,00%;3,47%;37,87%;0,00%;22,35%;14,37%;2,93%;19,00%;100,00%
JPA;SJP;JPA_SJP;5,39%;5,39%;45,59%;0,00%;0,00%;21,24%;3,39%;19,00%;100,00%
REC;SJP;REC_SJP;6,73%;4,40%;47,96%;0,00%;0,00%;18,20%;3,72%;19,00%;100,00%
FOR;SJP;SLZ_SJP;0,00%;3,77%;31,89%;0,00%;27,33%;15,64%;2,37%;19,00%;100,00%
NAT;SJP;NAT_SJP;6,50%;5,02%;45,67%;0,00%;0,00%;20,64%;3,17%;19,00%;100,00%
FOR;SJP;FOR_SJP;7,12%;5,19%;43,90%;0,00%;0,00%;21,53%;3,27%;19,00%;100,00%
BEL;SJP;BEL_SJP;8,48%;6,91%;54,20%;0,00%;0,00%;7,07%;4,35%;19,00%;100,00%
FOR;FOR;SLZ_SLZ;0,00%;0,00%;15,17%;0,00%;65,83%;0,00%;0,00%;19,00%;100,00%
FOR;FOR;THE_SLZ;0,00%;35,54%;8,19%;0,00%;37,27%;0,00%;0,00%;19,00%;100,00%
FES;FOR;FES_SLZ;3,49%;48,12%;5,47%;3,37%;0,00%;8,88%;11,66%;19,00%;100,00%
FES;FOR;ITN_SLZ;0,00%;33,98%;3,86%;0,00%;26,91%;6,27%;9,99%;19,00%;100,00%
FES;FOR;VDC_SLZ;0,00%;32,00%;3,64%;0,00%;30,35%;5,90%;9,11%;19,00%;100,00%
SSA;FOR;SSA_SLZ;6,79%;32,17%;13,19%;12,63%;0,00%;7,24%;8,98%;19,00%;100,00%
BEL;FOR;BEL_SLZ;7,21%;42,61%;6,19%;9,34%;0,00%;10,68%;4,97%;19,00%;100,00%
AJU;FOR;AJU_SLZ;10,04%;34,65%;8,15%;10,30%;0,00%;9,46%;8,40%;19,00%;100,00%
REC;FOR;PNZ_SLZ;0,00%;26,95%;9,40%;1,89%;27,02%;9,20%;6,53%;19,00%;100,00%
REC;FOR;CAU_SLZ;0,00%;28,03%;9,78%;1,96%;24,86%;9,57%;6,79%;19,00%;100,00%
REC;FOR;REC_SLZ;6,94%;32,87%;11,47%;10,53%;0,00%;11,22%;7,97%;19,00%;100,00%
NAT;FOR;NAT_SLZ;6,21%;34,82%;11,02%;7,48%;0,00%;13,04%;8,44%;19,00%;100,00%
VIX;FOR;VIX_SLZ;3,26%;35,24%;10,24%;5,01%;0,00%;12,90%;14,35%;19,00%;100,00%
BHZ;FOR;BHZ_SLZ;4,25%;31,10%;12,49%;6,93%;0,00%;12,65%;13,58%;19,00%;100,00%
BSB;FOR;BSB_SLZ;5,40%;31,86%;9,70%;6,68%;0,00%;13,09%;14,26%;19,00%;100,00%
BSB;FOR;PMW_SLZ;0,00%;23,78%;7,24%;1,67%;26,17%;9,77%;12,38%;19,00%;100,00%
RIO;FOR;CAW_SLZ;0,00%;26,36%;9,12%;1,85%;17,76%;11,55%;14,36%;19,00%;100,00%
BHZ;FOR;DIV_SLZ;0,00%;30,14%;12,10%;2,11%;7,64%;12,26%;16,74%;19,00%;100,00%
BHZ;FOR;JDF_SLZ;0,00%;25,68%;10,31%;1,80%;18,20%;10,45%;14,56%;19,00%;100,00%
GYN;FOR;GYN_SLZ;5,62%;32,15%;9,98%;3,27%;0,00%;14,45%;15,52%;19,00%;100,00%
RIO;FOR;RIO_SLZ;7,67%;29,92%;10,35%;5,81%;0,00%;13,11%;14,14%;19,00%;100,00%
BHZ;FOR;PSA_SLZ;0,00%;24,99%;10,04%;1,75%;26,91%;10,17%;7,15%;19,00%;100,00%
CPQ;FOR;SJK_SLZ;0,00%;24,18%;8,28%;1,69%;17,92%;13,87%;15,04%;19,00%;100,00%
CPQ;FOR;CPQ_SLZ;5,18%;25,99%;8,90%;9,60%;0,00%;14,91%;16,42%;19,00%;100,00%
SAO;FOR;SAO_SLZ;3,59%;27,72%;12,33%;3,67%;0,00%;16,05%;17,65%;19,00%;100,00%
SAO;FOR;SSZ_SLZ;0,00%;21,94%;9,76%;1,54%;21,01%;12,70%;14,04%;19,00%;100,00%
CPQ;FOR;SOD_SLZ;0,00%;25,21%;8,64%;1,77%;14,51%;14,46%;16,41%;19,00%;100,00%
JOI;FOR;JOI_SLZ;2,75%;24,74%;15,34%;5,77%;0,00%;16,64%;15,76%;19,00%;100,00%
BAU;FOR;BAU_SLZ;5,73%;22,28%;15,87%;6,84%;0,00%;14,81%;15,47%;19,00%;100,00%
RAO;FOR;RAO_SLZ;5,16%;23,93%;14,58%;6,54%;0,00%;15,55%;15,24%;19,00%;100,00%
CWB;FOR;CWB_SLZ;3,77%;23,35%;14,16%;9,33%;0,00%;15,53%;14,87%;19,00%;100,00%
BSB;FOR;CGB_SLZ;28,34%;16,63%;5,70%;6,14%;0,00%;13,68%;10,51%;19,00%;100,00%
BSB;FOR;CGR_SLZ;26,74%;18,17%;8,08%;2,41%;0,00%;14,04%;11,57%;19,00%;100,00%
SJP;FOR;SJP_SLZ;2,85%;20,67%;23,83%;6,13%;0,00%;14,35%;13,17%;19,00%;100,00%
ITJ;FOR;ITJ_SLZ;0,00%;25,48%;15,79%;3,37%;3,01%;17,13%;16,22%;19,00%;100,00%
BNU;FOR;BNU_SLZ;2,53%;25,60%;16,73%;5,01%;0,00%;14,82%;16,31%;19,00%;100,00%
LDB;FOR;LDB_SLZ;3,51%;24,11%;14,30%;5,04%;0,00%;16,44%;17,60%;19,00%;100,00%
FLN;FOR;FLN_SLZ;2,74%;23,49%;16,42%;6,71%;0,00%;16,68%;14,96%;19,00%;100,00%
SJP;FOR;PPB_SLZ;0,00%;18,72%;21,57%;2,48%;11,34%;12,99%;13,90%;19,00%;100,00%
UDI;FOR;UDI_SLZ;2,69%;25,09%;17,01%;5,71%;0,00%;14,52%;15,98%;19,00%;100,00%
MGF;FOR;MGF_SLZ;2,39%;24,00%;15,18%;7,00%;0,00%;17,15%;15,28%;19,00%;100,00%
FLN;FOR;LAJ_SLZ;0,00%;20,76%;14,50%;2,75%;15,04%;14,74%;13,22%;19,00%;100,00%
FLN;FOR;CCM_SLZ;0,00%;19,60%;13,70%;2,60%;18,70%;13,92%;12,48%;19,00%;100,00%
LDB;FOR;CAC_SLZ;0,00%;21,32%;12,65%;2,82%;12,78%;14,53%;16,90%;19,00%;100,00%
FLN;FOR;XAP_SLZ;0,00%;20,95%;14,64%;2,77%;14,41%;14,88%;13,34%;19,00%;100,00%
POA;FOR;POA_SLZ;2,37%;20,69%;18,12%;8,65%;0,00%;16,05%;15,12%;19,00%;100,00%
CXJ;FOR;CXJ_SLZ;4,77%;24,60%;11,56%;5,85%;0,00%;18,55%;15,67%;19,00%;100,00%
FOR;FOR;IMP_SLZ;0,00%;35,28%;8,13%;0,00%;37,58%;0,00%;0,00%;19,00%;100,00%
FOR;FOR;FOR_SLZ;10,80%;57,06%;13,15%;0,00%;0,00%;0,00%;0,00%;19,00%;100,00%
MCZ;FOR;MCZ_SLZ;6,72%;40,64%;11,94%;0,00%;0,00%;11,85%;9,85%;19,00%;100,00%
JPA;FOR;JPA_SLZ;5,69%;41,29%;9,48%;0,00%;0,00%;14,52%;10,01%;19,00%;100,00%
CPQ;CPQ;SOD_SOD;0,00%;0,00%;23,05%;0,00%;57,95%;0,00%;0,00%;19,00%;100,00%
SAO;CPQ;SAO_SOD;8,92%;39,68%;22,84%;4,30%;0,00%;2,25%;3,01%;19,00%;100,00%
SSZ;CPQ;SSZ_SOD;0,00%;22,49%;12,94%;2,44%;37,41%;3,20%;2,53%;19,00%;100,00%
CPQ;CPQ;CPQ_SOD;12,07%;34,85%;13,86%;18,12%;0,00%;0,00%;2,10%;19,00%;100,00%
RAO;CPQ;RAO_SOD;14,22%;37,95%;10,85%;9,30%;0,00%;4,11%;4,57%;19,00%;100,00%
BAU;CPQ;BAU_SOD;14,84%;33,20%;15,42%;10,06%;0,00%;3,95%;3,53%;19,00%;100,00%
SJP;CPQ;PPB_SOD;0,00%;22,29%;27,42%;0,00%;23,47%;3,87%;3,95%;19,00%;100,00%
SJP;CPQ;SJP_SOD;6,28%;26,20%;32,22%;7,47%;0,00%;4,54%;4,28%;19,00%;100,00%
CPQ;CPQ;SJK_SOD;0,00%;29,21%;11,61%;0,00%;37,61%;0,00%;2,57%;19,00%;100,00%
LDB;CPQ;CAC_SOD;0,00%;29,59%;7,62%;0,00%;30,82%;5,19%;7,78%;19,00%;100,00%
LDB;CPQ;LDB_SOD;10,31%;40,70%;10,49%;5,42%;0,00%;7,14%;6,95%;19,00%;100,00%
UDI;CPQ;UDI_SOD;7,08%;37,92%;15,36%;6,28%;0,00%;6,27%;8,10%;19,00%;100,00%
BHZ;CPQ;PSA_SOD;0,00%;18,83%;9,42%;0,00%;35,22%;3,33%;14,20%;19,00%;100,00%
MGF;CPQ;MGF_SOD;4,96%;28,64%;25,82%;11,03%;0,00%;8,38%;2,17%;19,00%;100,00%
POA;CPQ;POA_SOD;5,44%;27,32%;20,46%;13,56%;0,00%;9,77%;4,46%;19,00%;100,00%
CWB;CPQ;CWB_SOD;13,23%;47,22%;13,26%;0,00%;0,00%;7,29%;0,00%;19,00%;100,00%
RIO;CPQ;CAW_SOD;0,00%;29,08%;11,74%;0,00%;34,05%;6,14%;0,00%;19,00%;100,00%
RIO;CPQ;RIO_SOD;17,52%;39,31%;15,87%;0,00%;0,00%;8,30%;0,00%;19,00%;100,00%
JOI;CPQ;JOI_SOD;8,45%;43,78%;13,31%;7,68%;0,00%;7,77%;0,00%;19,00%;100,00%
BHZ;CPQ;BHZ_SOD;10,05%;42,30%;21,16%;0,00%;0,00%;7,49%;0,00%;19,00%;100,00%
BHZ;CPQ;DIV_SOD;0,00%;38,25%;19,14%;0,00%;16,84%;6,77%;0,00%;19,00%;100,00%
BHZ;CPQ;JDF_SOD;0,00%;27,85%;13,93%;0,00%;34,29%;4,93%;0,00%;19,00%;100,00%
BNU;CPQ;BNU_SOD;7,59%;44,29%;16,06%;4,86%;0,00%;8,20%;0,00%;19,00%;100,00%
ITJ;CPQ;ITJ_SOD;0,00%;48,02%;14,60%;0,00%;9,85%;8,52%;0,00%;19,00%;100,00%
FLN;CPQ;FLN_SOD;6,07%;29,88%;22,27%;13,20%;0,00%;7,55%;2,04%;19,00%;100,00%
FLN;CPQ;LAJ_SOD;0,00%;22,81%;17,00%;4,00%;28,72%;5,76%;2,70%;19,00%;100,00%
FLN;CPQ;CCM_SOD;0,00%;21,41%;15,95%;0,00%;35,49%;5,41%;2,74%;19,00%;100,00%
VIX;CPQ;VIX_SOD;6,97%;43,31%;13,31%;5,42%;0,00%;11,98%;0,00%;19,00%;100,00%
BSB;CPQ;BSB_SOD;12,56%;42,64%;14,13%;0,00%;0,00%;11,67%;0,00%;19,00%;100,00%
BSB;CPQ;CGB_SOD;54,59%;18,44%;0,00%;0,00%;0,00%;7,97%;0,00%;19,00%;100,00%
BSB;CPQ;CGR_SOD;45,01%;17,60%;10,13%;0,00%;0,00%;6,92%;1,34%;19,00%;100,00%
BSB;CPQ;PMW_SOD;0,00%;23,03%;7,63%;0,00%;44,04%;6,30%;0,00%;19,00%;100,00%
FLN;CPQ;XAP_SOD;0,00%;24,00%;17,89%;0,00%;28,68%;6,06%;4,37%;19,00%;100,00%
CXJ;CPQ;CXJ_SOD;11,41%;33,84%;20,95%;0,00%;0,00%;12,23%;2,57%;19,00%;100,00%
GYN;CPQ;GYN_SOD;9,10%;29,97%;27,49%;0,00%;0,00%;12,16%;2,27%;19,00%;100,00%
FES;CPQ;FES_SOD;5,59%;44,35%;8,76%;0,00%;0,00%;22,30%;0,00%;19,00%;100,00%
FES;CPQ;ITN_SOD;0,00%;26,33%;5,20%;0,00%;36,23%;13,24%;0,00%;19,00%;100,00%
FES;CPQ;VDC_SOD;0,00%;24,19%;4,78%;0,00%;39,86%;12,16%;0,00%;19,00%;100,00%
SSA;CPQ;SSA_SOD;9,50%;25,87%;28,21%;0,00%;0,00%;15,46%;1,96%;19,00%;100,00%
AJU;CPQ;AJU_SOD;15,88%;31,53%;12,89%;0,00%;0,00%;20,71%;0,00%;19,00%;100,00%
REC;CPQ;PNZ_SOD;0,00%;17,45%;17,17%;0,00%;30,40%;14,66%;1,32%;19,00%;100,00%
MCZ;CPQ;MCZ_SOD;9,36%;32,58%;16,62%;0,00%;0,00%;22,44%;0,00%;19,00%;100,00%
REC;CPQ;CAU_SOD;0,00%;18,24%;17,95%;0,00%;28,11%;15,32%;1,38%;19,00%;100,00%
JPA;CPQ;JPA_SOD;7,98%;33,31%;13,29%;0,00%;0,00%;26,42%;0,00%;19,00%;100,00%
REC;CPQ;REC_SOD;9,09%;24,79%;24,40%;0,00%;0,00%;20,83%;1,88%;19,00%;100,00%
NAT;CPQ;NAT_SOD;9,32%;30,08%;16,54%;0,00%;0,00%;25,05%;0,00%;19,00%;100,00%
