Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
CXJ;FOR;CXJ_IMP;4,71%;25,84%;11,40%;5,77%;0,00%;18,30%;14,98%;19,00%;100,00%
FOR;FOR;IMP_IMP;0,00%;0,00%;14,41%;0,00%;66,59%;0,00%;0,00%;19,00%;100,00%
NAT;FOR;NAT_IMP;6,70%;40,00%;11,88%;0,00%;0,00%;14,06%;8,37%;19,00%;100,00%
FOR;FOR;FOR_IMP;10,32%;58,11%;12,57%;0,00%;0,00%;0,00%;0,00%;19,00%;100,00%
ITJ;ITJ;ITJ_ITJ;0,00%;0,00%;48,37%;0,00%;32,63%;0,00%;0,00%;19,00%;100,00%
BNU;ITJ;BNU_ITJ;10,24%;12,25%;41,30%;14,85%;0,00%;2,37%;0,00%;19,00%;100,00%
FLN;ITJ;CCM_ITJ;0,00%;5,63%;21,15%;3,81%;45,54%;2,06%;2,81%;19,00%;100,00%
FLN;ITJ;FLN_ITJ;9,73%;9,83%;36,90%;19,42%;0,00%;3,60%;1,53%;19,00%;100,00%
FLN;ITJ;LAJ_ITJ;0,00%;6,55%;24,59%;4,44%;40,20%;2,40%;2,83%;19,00%;100,00%
FLN;ITJ;XAP_ITJ;0,00%;6,49%;24,37%;4,40%;37,82%;2,38%;5,54%;19,00%;100,00%
JOI;ITJ;JOI_ITJ;17,73%;18,83%;27,91%;16,11%;0,00%;0,00%;0,42%;19,00%;100,00%
CWB;ITJ;CWB_ITJ;12,19%;8,92%;26,52%;26,23%;0,00%;3,38%;3,76%;19,00%;100,00%
CXJ;ITJ;CXJ_ITJ;10,90%;6,63%;26,41%;20,77%;0,00%;8,47%;7,83%;19,00%;100,00%
POA;ITJ;POA_ITJ;8,12%;8,37%;31,56%;18,76%;0,00%;7,34%;6,85%;19,00%;100,00%
SAO;ITJ;SAO_ITJ;9,54%;8,70%;38,36%;10,49%;0,00%;8,07%;5,83%;19,00%;100,00%
