ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
AJUSCI;AJU;SCI;SE;SC; R$ 237,06 ; R$ 278,54 ; R$ 328,44 ; R$ 419,51 ; R$ 579,23 ; R$ 858,02 ; R$ 8,58 ;1,24%
AJUSCI2;AJU;SCI2;SE;SC; R$ 272,97 ; R$ 320,73 ; R$ 378,20 ; R$ 483,05 ; R$ 666,96 ; R$ 987,99 ; R$ 9,89 ;1,24%
AJUSEI;AJU;SEI;SE;SE; R$ 131,56 ; R$ 154,57 ; R$ 182,27 ; R$ 232,81 ; R$ 321,45 ; R$ 476,17 ; R$ 4,76 ;0,62%
AJUSEI2;AJU;SEI2;SE;SE; R$ 178,85 ; R$ 210,14 ; R$ 247,80 ; R$ 316,50 ; R$ 436,99 ; R$ 647,33 ; R$ 6,47 ;0,62%
AJUSJK;AJU;SJK;SE;SP; R$ 178,85 ; R$ 210,15 ; R$ 247,81 ; R$ 316,51 ; R$ 437,02 ; R$ 647,37 ; R$ 6,47 ;0,78%
AJUSJK2;AJU;SJK2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,78%
AJUSJP;AJU;SJP;SE;SP; R$ 205,06 ; R$ 240,93 ; R$ 284,11 ; R$ 362,87 ; R$ 501,04 ; R$ 742,19 ; R$ 7,42 ;0,78%
AJUSJP2;AJU;SJP2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
AJUSLZ;AJU;SLZ;SE;MA; R$ 172,42 ; R$ 202,58 ; R$ 238,88 ; R$ 305,12 ; R$ 421,28 ; R$ 624,05 ; R$ 6,25 ;0,72%
AJUSOD;AJU;SOD;SE;SP; R$ 175,30 ; R$ 205,98 ; R$ 242,88 ; R$ 310,22 ; R$ 428,34 ; R$ 634,50 ; R$ 6,34 ;0,78%
AJUSOD2;AJU;SOD2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
AJUSSA;AJU;SSA;SE;BA; R$ 120,10 ; R$ 141,12 ; R$ 166,40 ; R$ 212,54 ; R$ 293,46 ; R$ 434,71 ; R$ 4,34 ;0,31%
AJUSSZ;AJU;SSZ;SE;SP; R$ 220,89 ; R$ 259,54 ; R$ 306,05 ; R$ 390,90 ; R$ 539,72 ; R$ 799,50 ; R$ 7,99 ;0,78%
AJUSSZ2;AJU;SSZ2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,78%
AJUTHE;AJU;THE;SE;PI; R$ 143,72 ; R$ 168,86 ; R$ 199,12 ; R$ 254,33 ; R$ 351,15 ; R$ 520,17 ; R$ 5,21 ;0,72%
AJUTOI;AJU;TOI;SE;TO; R$ 295,89 ; R$ 347,67 ; R$ 409,97 ; R$ 523,64 ; R$ 723,00 ; R$ 1.071,00 ; R$ 10,71 ;0,83%
AJUTOI2;AJU;TOI2;SE;TO; R$ 406,86 ; R$ 478,04 ; R$ 563,72 ; R$ 720,00 ; R$ 994,12 ; R$ 1.472,62 ; R$ 14,73 ;0,83%
