ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
SJPPPB2;SJP;PPB2;SP;SP; R$ 139,36 ; R$ 163,76 ; R$ 193,10 ; R$ 246,64 ; R$ 340,53 ; R$ 504,45 ; R$ 5,04 ;0,72%
SJPPRI;SJP;PRI;SP;PR; R$ 152,42 ; R$ 179,09 ; R$ 211,18 ; R$ 269,73 ; R$ 372,43 ; R$ 551,68 ; R$ 5,51 ;0,83%
SJPPRI2;SJP;PRI2;SP;PR; R$ 180,22 ; R$ 211,76 ; R$ 249,70 ; R$ 318,94 ; R$ 440,36 ; R$ 652,32 ; R$ 6,53 ;0,83%
SJPRAO;SJP;RAO;SP;SP; R$ 116,40 ; R$ 136,77 ; R$ 161,28 ; R$ 205,99 ; R$ 284,42 ; R$ 421,33 ; R$ 4,22 ;0,57%
SJPRAO2;SJP;RAO2;SP;SP; R$ 136,89 ; R$ 160,83 ; R$ 189,65 ; R$ 242,24 ; R$ 334,47 ; R$ 495,46 ; R$ 4,95 ;0,57%
SJPREC;SJP;REC;SP;PE; R$ 243,29 ; R$ 285,85 ; R$ 337,08 ; R$ 430,54 ; R$ 594,46 ; R$ 880,59 ; R$ 8,81 ;1,14%
SJPRIO;SJP;RIO;SP;RJ; R$ 116,96 ; R$ 137,42 ; R$ 162,05 ; R$ 206,99 ; R$ 285,80 ; R$ 423,35 ; R$ 4,23 ;0,57%
SJPRJI;SJP;RJI;SP;RJ; R$ 156,92 ; R$ 184,37 ; R$ 217,40 ; R$ 277,69 ; R$ 383,41 ; R$ 567,96 ; R$ 5,68 ;0,62%
SJPRJI2;SJP;RJI2;SP;RJ; R$ 182,70 ; R$ 214,66 ; R$ 253,13 ; R$ 323,30 ; R$ 446,40 ; R$ 661,25 ; R$ 6,61 ;0,83%
SJPRNI;SJP;RNI;SP;RN; R$ 312,13 ; R$ 366,74 ; R$ 432,46 ; R$ 552,36 ; R$ 762,67 ; R$ 1.129,76 ; R$ 11,29 ;1,24%
SJPRNI2;SJP;RNI2;SP;RN; R$ 369,84 ; R$ 434,55 ; R$ 512,42 ; R$ 654,50 ; R$ 903,67 ; R$ 1.338,63 ; R$ 13,39 ;1,24%
SJPRSI;SJP;RSI;SP;RS; R$ 179,41 ; R$ 210,80 ; R$ 248,57 ; R$ 317,49 ; R$ 438,36 ; R$ 649,36 ; R$ 6,50 ;0,83%
SJPRSI2;SJP;RSI2;SP;RS; R$ 216,72 ; R$ 254,64 ; R$ 300,26 ; R$ 383,51 ; R$ 529,52 ; R$ 784,40 ; R$ 7,85 ;0,83%
SJPSAO;SJP;SAO;SP;SP; R$ 103,45 ; R$ 121,56 ; R$ 143,34 ; R$ 183,08 ; R$ 252,78 ; R$ 374,45 ; R$ 3,75 ;0,36%
SJPSCI;SJP;SCI;SP;SC; R$ 177,08 ; R$ 208,07 ; R$ 245,35 ; R$ 313,39 ; R$ 432,69 ; R$ 640,97 ; R$ 6,41 ;0,83%
SJPSCI2;SJP;SCI2;SP;SC; R$ 199,51 ; R$ 234,41 ; R$ 276,42 ; R$ 353,07 ; R$ 487,49 ; R$ 722,13 ; R$ 7,22 ;0,83%
SJPSEI;SJP;SEI;SP;SE; R$ 288,03 ; R$ 338,42 ; R$ 399,06 ; R$ 509,71 ; R$ 703,77 ; R$ 1.042,50 ; R$ 10,42 ;1,03%
SJPSEI2;SJP;SEI2;SP;SE; R$ 299,05 ; R$ 351,37 ; R$ 414,34 ; R$ 529,22 ; R$ 730,70 ; R$ 1.082,40 ; R$ 10,83 ;1,03%
SJPSJK;SJP;SJK;SP;SP; R$ 107,81 ; R$ 126,67 ; R$ 149,37 ; R$ 190,78 ; R$ 263,42 ; R$ 390,22 ; R$ 3,90 ;0,57%
SJPSJK2;SJP;SJK2;SP;SP; R$ 125,11 ; R$ 147,00 ; R$ 173,34 ; R$ 221,41 ; R$ 305,70 ; R$ 452,84 ; R$ 4,53 ;0,57%
SJPSJP;SJP;SJP;SP;SP; R$ 92,97 ; R$ 109,25 ; R$ 128,82 ; R$ 164,53 ; R$ 227,17 ; R$ 336,51 ; R$ 3,37 ;0,72%
SJPSJP2;SJP;SJP2;SP;SP; R$ 118,53 ; R$ 139,27 ; R$ 164,22 ; R$ 209,76 ; R$ 289,62 ; R$ 429,02 ; R$ 4,29 ;0,72%
SJPSLZ;SJP;SLZ;SP;MA; R$ 296,26 ; R$ 348,11 ; R$ 410,48 ; R$ 524,30 ; R$ 723,90 ; R$ 1.072,32 ; R$ 10,72 ;1,14%
SJPSOD;SJP;SOD;SP;SP; R$ 107,07 ; R$ 125,81 ; R$ 148,35 ; R$ 189,48 ; R$ 261,63 ; R$ 387,56 ; R$ 3,88 ;0,57%
SJPSOD2;SJP;SOD2;SP;SP; R$ 124,02 ; R$ 145,71 ; R$ 171,83 ; R$ 219,47 ; R$ 303,03 ; R$ 448,89 ; R$ 4,49 ;0,57%
SJPSSA;SJP;SSA;SP;BA; R$ 209,90 ; R$ 246,63 ; R$ 290,82 ; R$ 371,46 ; R$ 512,88 ; R$ 759,76 ; R$ 7,60 ;0,72%
SJPSSZ;SJP;SSZ;SP;SP; R$ 130,51 ; R$ 153,34 ; R$ 180,82 ; R$ 230,96 ; R$ 318,89 ; R$ 472,38 ; R$ 4,72 ;0,57%
SJPSSZ2;SJP;SSZ2;SP;SP; R$ 153,53 ; R$ 180,40 ; R$ 212,73 ; R$ 271,71 ; R$ 375,15 ; R$ 555,72 ; R$ 5,55 ;0,57%
SJPTHE;SJP;THE;SP;PI; R$ 285,50 ; R$ 335,44 ; R$ 395,55 ; R$ 505,23 ; R$ 697,59 ; R$ 1.033,36 ; R$ 10,33 ;1,14%
SJPTOI;SJP;TOI;SP;TO; R$ 266,18 ; R$ 312,75 ; R$ 368,79 ; R$ 471,05 ; R$ 650,38 ; R$ 963,42 ; R$ 9,63 ;0,88%
SJPTOI2;SJP;TOI2;SP;TO; R$ 335,54 ; R$ 394,24 ; R$ 464,89 ; R$ 593,79 ; R$ 819,85 ; R$ 1.214,47 ; R$ 12,15 ;0,88%
SJPUDI;SJP;UDI;SP;MG; R$ 145,14 ; R$ 170,53 ; R$ 201,09 ; R$ 256,85 ; R$ 354,62 ; R$ 525,32 ; R$ 5,26 ;0,72%
SJPVIX;SJP;VIX;SP;ES; R$ 124,67 ; R$ 146,49 ; R$ 172,75 ; R$ 220,64 ; R$ 304,63 ; R$ 451,26 ; R$ 4,51 ;0,72%
SJP2AJU;SJP2;AJU;SP;SE; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
SJP2ALI;SJP2;ALI;SP;AL; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,24%
SJP2ALI2;SJP;ALI2;SP;AL; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,24%
SJP2API;SJP2;API;SP;AP; R$ 834,88 ; R$ 980,94 ; R$ 1.156,72 ; R$ 1.477,45 ; R$ 2.039,93 ; R$ 3.021,81 ; R$ 30,22 ;1,35%
SJP2API2;SJP;API2;SP;API2; R$ 1.147,95 ; R$ 1.348,79 ; R$ 1.590,50 ; R$ 2.031,49 ; R$ 2.804,90 ; R$ 4.154,99 ; R$ 41,55 ;1,35%
SJP2ARU;SJP2;ARU;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,72%
SJP2ARU2;SJP;ARU2;SP;SP; R$ 164,71 ; R$ 193,53 ; R$ 228,21 ; R$ 291,48 ; R$ 402,46 ; R$ 596,17 ; R$ 5,97 ;0,72%
SJP2BAI;SJP2;BAI;SP;BA; R$ 336,59 ; R$ 395,47 ; R$ 466,35 ; R$ 595,65 ; R$ 822,43 ; R$ 1.218,29 ; R$ 12,18 ;0,83%
SJP2BAI2;SJP;BAI2;SP;BA; R$ 414,26 ; R$ 486,74 ; R$ 573,97 ; R$ 733,11 ; R$ 1.012,22 ; R$ 1.499,42 ; R$ 14,99 ;0,83%
SJP2BAU;SJP2;BAU;SP;SP; R$ 139,30 ; R$ 163,66 ; R$ 192,99 ; R$ 246,51 ; R$ 340,36 ; R$ 504,18 ; R$ 5,04 ;0,57%
SJP2BAU2;SJP;BAU2;SP;SP; R$ 164,71 ; R$ 193,53 ; R$ 228,21 ; R$ 291,48 ; R$ 402,46 ; R$ 596,17 ; R$ 5,97 ;0,72%
SJP2BEL;SJP2;BEL;SP;PA; R$ 438,93 ; R$ 515,72 ; R$ 608,14 ; R$ 776,75 ; R$ 1.072,48 ; R$ 1.588,69 ; R$ 15,89 ;1,14%
SJP2BHZ;SJP2;BHZ;SP;MG; R$ 170,66 ; R$ 200,53 ; R$ 236,47 ; R$ 302,02 ; R$ 417,01 ; R$ 617,74 ; R$ 6,18 ;0,72%
SJP2BNU;SJP2;BNU;SP;SC; R$ 170,67 ; R$ 200,53 ; R$ 236,47 ; R$ 302,03 ; R$ 417,01 ; R$ 617,74 ; R$ 6,18 ;0,72%
SJP2BSB;SJP2;BSB;SP;DF; R$ 176,71 ; R$ 207,63 ; R$ 244,83 ; R$ 312,72 ; R$ 431,78 ; R$ 639,61 ; R$ 6,39 ;0,72%
SJP2CEI;SJP2;CEI;SP;CE; R$ 437,56 ; R$ 514,12 ; R$ 606,26 ; R$ 774,34 ; R$ 1.069,15 ; R$ 1.583,77 ; R$ 15,84 ;1,24%
SJP2CEI2;SJP;CEI2;SP;CE; R$ 538,55 ; R$ 632,77 ; R$ 746,16 ; R$ 953,04 ; R$ 1.315,88 ; R$ 1.949,25 ; R$ 19,50 ;1,24%
SJP2CGB;SJP2;CGB;SP;MT; R$ 385,74 ; R$ 453,22 ; R$ 534,45 ; R$ 682,63 ; R$ 942,51 ; R$ 1.396,17 ; R$ 13,96 ;0,72%
SJP2CGR;SJP2;CGR;SP;MS; R$ 353,64 ; R$ 415,51 ; R$ 489,97 ; R$ 625,82 ; R$ 864,09 ; R$ 1.280,00 ; R$ 12,80 ;0,72%
SJP2CPF;SJP2;CPF;SP;SP; R$ 145,62 ; R$ 171,10 ; R$ 201,77 ; R$ 257,72 ; R$ 355,83 ; R$ 527,10 ; R$ 5,27 ;0,57%
SJP2CPF2;SJP;CPF2;SP;SP; R$ 164,71 ; R$ 193,53 ; R$ 228,21 ; R$ 291,48 ; R$ 402,46 ; R$ 596,17 ; R$ 5,97 ;0,57%
SJP2CPQ;SJP2;CPQ;SP;SP; R$ 117,64 ; R$ 138,23 ; R$ 163,00 ; R$ 208,19 ; R$ 287,45 ; R$ 425,80 ; R$ 4,25 ;0,57%
SJP2CWB;SJP2;CWB;SP;PR; R$ 152,14 ; R$ 178,75 ; R$ 210,79 ; R$ 269,23 ; R$ 371,73 ; R$ 550,65 ; R$ 5,50 ;0,72%
SJP2DIV;SJP2;DIV;SP;MG; R$ 155,45 ; R$ 182,65 ; R$ 215,38 ; R$ 275,09 ; R$ 379,83 ; R$ 562,66 ; R$ 5,63 ;0,72%
SJP2ESI;SJP2;ESI;SP;ES; R$ 210,11 ; R$ 246,88 ; R$ 291,12 ; R$ 371,84 ; R$ 513,40 ; R$ 760,52 ; R$ 7,60 ;0,83%
SJP2ESI2;SJP;ESI2;SP;ES; R$ 258,61 ; R$ 303,86 ; R$ 358,30 ; R$ 457,65 ; R$ 631,88 ; R$ 936,03 ; R$ 9,36 ;0,83%
SJP2FES;SJP2;FES;SP;BA; R$ 258,92 ; R$ 304,22 ; R$ 358,73 ; R$ 458,19 ; R$ 632,64 ; R$ 937,14 ; R$ 9,37 ;0,72%
SJP2FLN;SJP2;FLN;SP;SC; R$ 172,19 ; R$ 202,31 ; R$ 238,57 ; R$ 304,71 ; R$ 420,72 ; R$ 623,23 ; R$ 6,23 ;0,72%
SJP2FOR;SJP2;FOR;SP;CE; R$ 336,59 ; R$ 395,47 ; R$ 466,35 ; R$ 595,65 ; R$ 822,43 ; R$ 1.218,29 ; R$ 12,18 ;1,14%
SJP2GOI;SJP2;GOI;SP;GO; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
SJP2GOI2;SJP;GOI2;SP;GO; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
SJP2GUDI;SJP;GUDI;SP;MG; R$ 202,09 ; R$ 237,45 ; R$ 279,99 ; R$ 357,62 ; R$ 493,78 ; R$ 731,46 ; R$ 7,32 ;0,83%
SJP2GUDI2;SJP;GUDI2;SP;MG; R$ 248,72 ; R$ 292,23 ; R$ 344,61 ; R$ 440,15 ; R$ 607,73 ; R$ 900,25 ; R$ 9,01 ;0,83%
SJP2GYN;SJP2;GYN;SP;GO; R$ 179,10 ; R$ 210,42 ; R$ 248,14 ; R$ 316,94 ; R$ 437,61 ; R$ 648,24 ; R$ 6,48 ;0,72%
SJP2ITJ;SJP2;ITJ;SP;SC; R$ 195,02 ; R$ 229,13 ; R$ 270,20 ; R$ 345,12 ; R$ 476,49 ; R$ 705,86 ; R$ 7,06 ;0,72%
SJP2JOI;SJP2;JOI;SP;SC; R$ 170,18 ; R$ 199,95 ; R$ 235,79 ; R$ 301,17 ; R$ 415,82 ; R$ 615,97 ; R$ 6,15 ;0,72%
SJP2JPA;SJP2;JPA;SP;PB; R$ 310,70 ; R$ 365,06 ; R$ 430,47 ; R$ 549,84 ; R$ 759,16 ; R$ 1.124,57 ; R$ 11,25 ;1,14%
SJP2LDB;SJP2;LDB;SP;PR; R$ 154,45 ; R$ 181,47 ; R$ 213,99 ; R$ 273,31 ; R$ 377,37 ; R$ 559,00 ; R$ 5,59 ;0,79%
SJP2MAI;SJP2;MAI;SP;MA; R$ 471,22 ; R$ 553,66 ; R$ 652,89 ; R$ 833,91 ; R$ 1.151,39 ; R$ 1.705,59 ; R$ 17,05 ;1,35%
SJP2MAI2;SJP;MAI2;SP;MA; R$ 579,97 ; R$ 681,44 ; R$ 803,56 ; R$ 1.026,36 ; R$ 1.417,10 ; R$ 2.099,19 ; R$ 20,99 ;1,35%
SJP2MCP;SJP2;MCP;SP;AP; R$ 521,79 ; R$ 613,09 ; R$ 722,95 ; R$ 923,40 ; R$ 1.274,95 ; R$ 1.888,63 ; R$ 18,88 ;1,24%
SJP2MCZ;SJP2;MCZ;SP;AL; R$ 284,81 ; R$ 334,63 ; R$ 394,61 ; R$ 504,01 ; R$ 695,90 ; R$ 1.030,85 ; R$ 10,31 ;1,14%
SJP2MGF;SJP2;MGF;SP;PR; R$ 197,59 ; R$ 232,16 ; R$ 273,76 ; R$ 349,66 ; R$ 482,77 ; R$ 715,15 ; R$ 7,15 ;0,79%
SJP2MGI;SJP2;MGI;SP;MG; R$ 205,25 ; R$ 241,17 ; R$ 284,38 ; R$ 363,23 ; R$ 501,52 ; R$ 742,92 ; R$ 7,43 ;0,83%
SJP2MGI2;SJP;MGI2;SP;MG; R$ 251,20 ; R$ 295,14 ; R$ 348,03 ; R$ 444,53 ; R$ 613,77 ; R$ 909,21 ; R$ 9,10 ;0,83%
SJP2MSI;SJP2;MSI;SP;MS; R$ 559,95 ; R$ 657,92 ; R$ 775,81 ; R$ 990,93 ; R$ 1.368,19 ; R$ 2.026,74 ; R$ 20,27 ;0,83%
SJP2MSI2;SJP;MSI2;SP;MS; R$ 646,87 ; R$ 760,04 ; R$ 896,25 ; R$ 1.144,74 ; R$ 1.580,56 ; R$ 2.341,33 ; R$ 23,41 ;0,83%
SJP2MTI;SJP2;MTI;SP;MT; R$ 617,17 ; R$ 725,15 ; R$ 855,11 ; R$ 1.092,20 ; R$ 1.508,02 ; R$ 2.233,87 ; R$ 22,33 ;0,83%
SJP2MTI2;SJP;MTI2;SP;MT; R$ 758,74 ; R$ 891,49 ; R$ 1.051,25 ; R$ 1.342,73 ; R$ 1.853,93 ; R$ 2.746,28 ; R$ 27,46 ;0,83%
SJP2NAT;SJP2;NAT;SP;RN; R$ 323,64 ; R$ 380,26 ; R$ 448,41 ; R$ 572,74 ; R$ 790,79 ; R$ 1.171,43 ; R$ 11,71 ;1,14%
SJP2PAI;SJP2;PAI;SP;PA; R$ 702,28 ; R$ 825,15 ; R$ 973,01 ; R$ 1.242,81 ; R$ 1.715,95 ; R$ 2.541,90 ; R$ 25,41 ;1,24%
SJP2PAI2;SJP;PAI2;SP;PA; R$ 965,63 ; R$ 1.134,58 ; R$ 1.337,91 ; R$ 1.708,85 ; R$ 2.359,44 ; R$ 3.495,11 ; R$ 34,95 ;1,24%
SJP2PBI;SJP2;PBI;SP;PB; R$ 403,91 ; R$ 474,57 ; R$ 559,62 ; R$ 714,78 ; R$ 986,91 ; R$ 1.461,93 ; R$ 14,61 ;1,24%
SJP2PBI2;SJP;PBI2;SP;PB; R$ 497,11 ; R$ 584,09 ; R$ 688,76 ; R$ 879,74 ; R$ 1.214,65 ; R$ 1.799,31 ; R$ 17,99 ;1,24%
SJP2PEI;SJP2;PEI;SP;PE; R$ 387,08 ; R$ 454,80 ; R$ 536,30 ; R$ 685,00 ; R$ 945,78 ; R$ 1.401,03 ; R$ 14,01 ;1,24%
SJP2PEI2;SJP;PEI2;SP;PE; R$ 476,40 ; R$ 559,76 ; R$ 660,06 ; R$ 843,07 ; R$ 1.164,04 ; R$ 1.724,33 ; R$ 17,24 ;1,24%
SJP2PII;SJP2;PII;SP;PI; R$ 454,39 ; R$ 533,89 ; R$ 629,57 ; R$ 804,13 ; R$ 1.110,28 ; R$ 1.644,67 ; R$ 16,44 ;1,24%
SJP2PII2;SJP;PII2;SP;PI; R$ 559,26 ; R$ 657,10 ; R$ 774,86 ; R$ 989,70 ; R$ 1.366,49 ; R$ 2.024,22 ; R$ 20,25 ;1,24%
SJP2PMW;SJP2;PMW;SP;TO; R$ 236,95 ; R$ 278,40 ; R$ 328,29 ; R$ 419,31 ; R$ 578,95 ; R$ 857,62 ; R$ 8,57 ;0,78%
SJP2POA;SJP2;POA;SP;RS; R$ 179,80 ; R$ 211,26 ; R$ 249,12 ; R$ 318,20 ; R$ 439,34 ; R$ 650,81 ; R$ 6,51 ;0,72%
SJP2PPB;SJP2;PPB;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,72%
SJP2PPB2;SJP;PPB2;SP;SP; R$ 164,71 ; R$ 193,53 ; R$ 228,21 ; R$ 291,48 ; R$ 402,46 ; R$ 596,17 ; R$ 5,97 ;0,72%
SJP2PRI;SJP2;PRI;SP;PR; R$ 182,52 ; R$ 214,46 ; R$ 252,89 ; R$ 323,01 ; R$ 445,98 ; R$ 660,64 ; R$ 6,61 ;0,83%
SJP2PRI2;SJP;PRI2;SP;PR; R$ 224,64 ; R$ 263,94 ; R$ 311,25 ; R$ 397,55 ; R$ 548,89 ; R$ 813,10 ; R$ 8,13 ;0,83%
SJP2RAO;SJP2;RAO;SP;SP; R$ 113,24 ; R$ 133,05 ; R$ 156,89 ; R$ 200,40 ; R$ 276,69 ; R$ 409,87 ; R$ 4,10 ;0,57%
SJP2RAO2;SJP;RAO2;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,72%
SJP2REC;SJP2;REC;SP;PE; R$ 310,06 ; R$ 364,32 ; R$ 429,60 ; R$ 548,71 ; R$ 757,61 ; R$ 1.122,28 ; R$ 11,22 ;1,14%
SJP2RIO;SJP2;RIO;SP;RJ; R$ 152,84 ; R$ 179,57 ; R$ 211,75 ; R$ 270,46 ; R$ 373,44 ; R$ 553,19 ; R$ 5,53 ;0,72%
SJP2RJI;SJP2;RJI;SP;RJ; R$ 195,81 ; R$ 230,06 ; R$ 271,29 ; R$ 346,51 ; R$ 478,43 ; R$ 708,71 ; R$ 7,09 ;0,62%
SJP2RJI2;SJP;RJI2;SP;RJ; R$ 237,76 ; R$ 279,36 ; R$ 329,42 ; R$ 420,76 ; R$ 580,95 ; R$ 860,57 ; R$ 8,61 ;0,83%
SJP2RNI;SJP2;RNI;SP;RN; R$ 420,73 ; R$ 494,34 ; R$ 582,94 ; R$ 744,56 ; R$ 1.028,03 ; R$ 1.522,85 ; R$ 15,23 ;1,24%
SJP2RNI2;SJP;RNI2;SP;RN; R$ 517,82 ; R$ 608,43 ; R$ 717,46 ; R$ 916,39 ; R$ 1.265,27 ; R$ 1.874,27 ; R$ 18,74 ;1,24%
SJP2RSI;SJP2;RSI;SP;RS; R$ 218,32 ; R$ 256,52 ; R$ 302,49 ; R$ 386,36 ; R$ 533,44 ; R$ 790,21 ; R$ 7,90 ;0,83%
SJP2RSI2;SJP;RSI2;SP;RS; R$ 268,70 ; R$ 315,71 ; R$ 372,29 ; R$ 475,51 ; R$ 656,55 ; R$ 972,56 ; R$ 9,73 ;0,83%
SJP2SAO;SJP2;SAO;SP;SP; R$ 114,29 ; R$ 134,29 ; R$ 158,35 ; R$ 202,26 ; R$ 279,26 ; R$ 413,67 ; R$ 4,13 ;0,57%
SJP2SCI;SJP2;SCI;SP;SC; R$ 211,66 ; R$ 248,69 ; R$ 293,25 ; R$ 374,56 ; R$ 517,17 ; R$ 766,08 ; R$ 7,66 ;0,83%
SJP2SCI2;SJP;SCI2;SP;SC; R$ 260,50 ; R$ 306,07 ; R$ 360,92 ; R$ 461,00 ; R$ 636,50 ; R$ 942,88 ; R$ 9,43 ;0,83%
SJP2SEI;SJP2;SEI;SP;SE; R$ 353,42 ; R$ 415,25 ; R$ 489,66 ; R$ 625,43 ; R$ 863,55 ; R$ 1.279,19 ; R$ 12,80 ;1,03%
SJP2SEI2;SJP;SEI2;SP;SE; R$ 434,97 ; R$ 511,08 ; R$ 602,66 ; R$ 769,77 ; R$ 1.062,83 ; R$ 1.574,40 ; R$ 15,75 ;1,03%
SJP2SJK;SJP2;SJK;SP;SP; R$ 100,37 ; R$ 117,94 ; R$ 139,07 ; R$ 177,63 ; R$ 245,25 ; R$ 363,30 ; R$ 3,63 ;0,57%
SJP2SJK2;SJP;SJK2;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,57%
SJP2SJP;SJP2;SJP;SP;SP; R$ 113,24 ; R$ 133,05 ; R$ 156,89 ; R$ 200,40 ; R$ 276,69 ; R$ 409,87 ; R$ 4,10 ;0,72%
SJP2SJP2;SJP;SJP2;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,72%
SJP2SLZ;SJP2;SLZ;SP;MA; R$ 362,48 ; R$ 425,90 ; R$ 502,22 ; R$ 641,48 ; R$ 885,69 ; R$ 1.311,99 ; R$ 13,12 ;1,24%
SJP2SOD;SJP2;SOD;SP;SP; R$ 108,36 ; R$ 127,33 ; R$ 150,14 ; R$ 191,76 ; R$ 264,77 ; R$ 392,21 ; R$ 3,92 ;0,57%
SJP2SOD2;SJP;SOD2;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,72%
SJP2SSA;SJP2;SSA;SP;BA; R$ 258,92 ; R$ 304,22 ; R$ 358,73 ; R$ 458,19 ; R$ 632,64 ; R$ 937,14 ; R$ 9,37 ;0,72%
SJP2SSZ;SJP2;SSZ;SP;SP; R$ 133,82 ; R$ 157,24 ; R$ 185,42 ; R$ 236,83 ; R$ 326,99 ; R$ 484,38 ; R$ 4,85 ;0,57%
SJP2SSZ2;SJP;SSZ2;SP;SP; R$ 164,71 ; R$ 193,53 ; R$ 228,21 ; R$ 291,48 ; R$ 402,46 ; R$ 596,17 ; R$ 5,97 ;0,57%
SJP2THE;SJP2;THE;SP;PI; R$ 349,53 ; R$ 410,69 ; R$ 484,29 ; R$ 618,56 ; R$ 854,05 ; R$ 1.265,14 ; R$ 12,66 ;1,14%
SJP2TOI;SJP2;TOI;SP;TO; R$ 379,10 ; R$ 445,44 ; R$ 525,26 ; R$ 670,90 ; R$ 926,32 ; R$ 1.372,19 ; R$ 13,72 ;0,88%
SJP2TOI2;SJP;TOI2;SP;TO; R$ 521,28 ; R$ 612,48 ; R$ 722,24 ; R$ 922,48 ; R$ 1.273,69 ; R$ 1.886,76 ; R$ 18,87 ;0,88%
SJP2UDI;SJP2;UDI;SP;MG; R$ 157,83 ; R$ 185,45 ; R$ 218,68 ; R$ 279,31 ; R$ 385,65 ; R$ 571,28 ; R$ 5,71 ;0,72%
SJP2VIX;SJP2;VIX;SP;ES; R$ 156,55 ; R$ 183,93 ; R$ 216,90 ; R$ 277,04 ; R$ 382,51 ; R$ 566,61 ; R$ 5,67 ;0,72%
SLZAJU;SLZ;AJU;MA;SE; R$ 149,04 ; R$ 175,11 ; R$ 206,49 ; R$ 263,75 ; R$ 364,16 ; R$ 539,44 ; R$ 5,40 ;0,72%
SLZALI;SLZ;ALI;MA;AL; R$ 241,91 ; R$ 284,24 ; R$ 335,17 ; R$ 428,10 ; R$ 591,09 ; R$ 875,60 ; R$ 8,75 ;0,83%
SLZALI2;SLZ;ALI2;MA;AL; R$ 297,73 ; R$ 349,83 ; R$ 412,52 ; R$ 526,90 ; R$ 727,49 ; R$ 1.077,66 ; R$ 10,77 ;0,83%
SLZAPI;SLZ;API;MA;AP; R$ 547,44 ; R$ 643,22 ; R$ 758,49 ; R$ 968,79 ; R$ 1.337,62 ; R$ 1.981,46 ; R$ 19,82 ;0,62%
SLZAPI2;SLZ;API2;MA;API2; R$ 752,73 ; R$ 884,43 ; R$ 1.042,92 ; R$ 1.332,08 ; R$ 1.839,23 ; R$ 2.724,51 ; R$ 27,24 ;0,62%
SLZARU;SLZ;ARU;MA;SP; R$ 294,51 ; R$ 346,05 ; R$ 408,05 ; R$ 521,20 ; R$ 719,63 ; R$ 1.066,00 ; R$ 10,66 ;1,24%
SLZARU2;SLZ;ARU2;MA;SP; R$ 362,48 ; R$ 425,90 ; R$ 502,22 ; R$ 641,48 ; R$ 885,69 ; R$ 1.311,99 ; R$ 13,12 ;1,24%
SLZBAI;SLZ;BAI;MA;BA; R$ 227,05 ; R$ 266,78 ; R$ 314,59 ; R$ 401,81 ; R$ 554,78 ; R$ 821,82 ; R$ 8,22 ;0,83%
SLZBAI2;SLZ;BAI2;MA;BA; R$ 279,45 ; R$ 328,34 ; R$ 387,19 ; R$ 494,54 ; R$ 682,81 ; R$ 1.011,47 ; R$ 10,12 ;0,83%
SLZBAU;SLZ;BAU;MA;SP; R$ 249,20 ; R$ 292,81 ; R$ 345,28 ; R$ 441,02 ; R$ 608,91 ; R$ 901,99 ; R$ 9,02 ;1,14%
SLZBAU2;SLZ;BAU2;MA;SP; R$ 362,48 ; R$ 425,90 ; R$ 502,22 ; R$ 641,48 ; R$ 885,69 ; R$ 1.311,99 ; R$ 13,12 ;1,14%
SLZBEL;SLZ;BEL;MA;PA; R$ 351,93 ; R$ 413,50 ; R$ 487,60 ; R$ 622,79 ; R$ 859,90 ; R$ 1.273,79 ; R$ 12,73 ;1,14%
