ROTA;FILIAL_ORIGEM;FILIAL_DESTINO; R$_CAPITAL ; R$_INTERIOR ; %_CAPITAL ; %_INTERIOR 
MGFPNZ;MGF;PNZ; R$ 3,36 ; R$ 3,48 ;0,66%;0,66%
MGFAJU;MGF;AJU; R$ 2,43 ; R$ 2,58 ;0,66%;0,66%
MGFMCZ;MGF;MCZ; R$ 2,37 ; R$ 2,52 ;0,94%;0,94%
MGFIMP;MGF;IMP; R$ 3,47 ; R$ 3,59 ;0,94%;0,94%
MGFCAU;MGF;CAU; R$ 3,22 ; R$ 3,34 ;0,94%;0,94%
MGFTHE;MGF;THE; R$ 3,11 ; R$ 3,24 ;0,94%;0,94%
MGFREC;MGF;REC; R$ 2,40 ; R$ 2,55 ;0,94%;0,94%
MGFJPA;MGF;JPA; R$ 2,33 ; R$ 2,49 ;0,94%;0,94%
MGFNAT;MGF;NAT; R$ 2,51 ; R$ 2,66 ;0,94%;0,94%
MGFSLZ;MGF;SLZ; R$ 3,39 ; R$ 3,51 ;0,94%;0,94%
MGFFOR;MGF;FOR; R$ 2,41 ; R$ 2,56 ;0,94%;0,94%
MGFBEL;MGF;BEL; R$ 2,15 ; R$ 2,32 ;0,94%;0,94%
NATFES;NAT;FES; R$ 1,68 ; R$ 2,10 ;0,27%;0,27%
NATITN;NAT;ITN; R$ 2,14 ; R$ 2,61 ;0,27%;0,27%
NATVDC;NAT;VDC; R$ 2,35 ; R$ 2,81 ;0,27%;0,27%
NATSSA;NAT;SSA; R$ 2,22 ; R$ 2,69 ;0,27%;0,27%
NATAJU;NAT;AJU; R$ 2,00 ; R$ 2,48 ;0,27%;0,27%
NATPNZ;NAT;PNZ; R$ 3,66 ; R$ 4,02 ;0,27%;0,27%
NATMCZ;NAT;MCZ; R$ 3,86 ; R$ 4,10 ;0,37%;0,37%
NATCAU;NAT;CAU; R$ 2,67 ; R$ 3,12 ;0,37%;0,37%
NATREC;NAT;REC; R$ 2,58 ; R$ 3,00 ;0,37%;0,37%
NATVIX;NAT;VIX; R$ 2,15 ; R$ 2,60 ;0,45%;0,45%
NATBHZ;NAT;BHZ; R$ 2,21 ; R$ 2,68 ;0,45%;0,45%
NATBSB;NAT;BSB; R$ 2,70 ; R$ 3,11 ;0,45%;0,45%
NATPMW;NAT;PMW; R$ 3,79 ; R$ 4,18 ;0,45%;0,45%
NATCAW;NAT;CAW; R$ 2,89 ; R$ 3,34 ;0,45%;0,45%
NATDIV;NAT;DIV; R$ 2,42 ; R$ 2,88 ;0,45%;0,45%
NATJDF;NAT;JDF; R$ 2,99 ; R$ 3,43 ;0,45%;0,45%
NATGYN;NAT;GYN; R$ 2,55 ; R$ 2,98 ;0,66%;0,66%
NATRIO;NAT;RIO; R$ 2,45 ; R$ 2,91 ;0,66%;0,66%
NATPSA;NAT;PSA; R$ 2,79 ; R$ 3,25 ;0,66%;0,66%
NATSJK;NAT;SJK; R$ 3,07 ; R$ 3,51 ;0,66%;0,66%
NATCPQ;NAT;CPQ; R$ 2,95 ; R$ 3,39 ;0,66%;0,66%
NATSAO;NAT;SAO; R$ 2,58 ; R$ 3,04 ;0,66%;0,66%
NATSSZ;NAT;SSZ; R$ 3,46 ; R$ 3,89 ;0,66%;0,66%
NATSOD;NAT;SOD; R$ 3,06 ; R$ 3,50 ;0,66%;0,66%
NATBAU;NAT;BAU; R$ 3,22 ; R$ 3,67 ;0,94%;0,94%
NATRAO;NAT;RAO; R$ 3,27 ; R$ 3,70 ;0,94%;0,94%
NATCWB;NAT;CWB; R$ 3,21 ; R$ 3,65 ;0,94%;0,94%
NATJOI;NAT;JOI; R$ 2,98 ; R$ 3,43 ;0,94%;0,94%
NATCGB;NAT;CGB; R$ 5,84 ; R$ 6,15 ;0,94%;0,94%
NATCGR;NAT;CGR; R$ 5,27 ; R$ 5,59 ;0,94%;0,94%
NATSJP;NAT;SJP; R$ 3,53 ; R$ 3,96 ;0,94%;0,94%
NATITJ;NAT;ITJ; R$ 2,87 ; R$ 3,32 ;0,94%;0,94%
NATBNU;NAT;BNU; R$ 2,85 ; R$ 3,31 ;0,94%;0,94%
NATLDB;NAT;LDB; R$ 3,08 ; R$ 3,52 ;0,94%;0,94%
NATFLN;NAT;FLN; R$ 3,18 ; R$ 3,62 ;0,94%;0,94%
NATPPB;NAT;PPB; R$ 3,98 ; R$ 4,40 ;0,94%;0,94%
NATUDI;NAT;UDI; R$ 3,08 ; R$ 3,52 ;0,66%;0,66%
NATMGF;NAT;MGF; R$ 3,10 ; R$ 3,54 ;0,94%;0,94%
NATBEL;NAT;BEL; R$ 3,14 ; R$ 3,57 ;0,94%;0,94%
NATLAJ;NAT;LAJ; R$ 3,71 ; R$ 4,13 ;0,94%;0,94%
NATCCM;NAT;CCM; R$ 3,97 ; R$ 4,38 ;0,94%;0,94%
NATCAC;NAT;CAC; R$ 3,59 ; R$ 4,01 ;0,94%;0,94%
NATXAP;NAT;XAP; R$ 3,67 ; R$ 4,09 ;0,94%;0,94%
NATCXJ;NAT;CXJ; R$ 3,00 ; R$ 3,45 ;0,94%;0,94%
NATPOA;NAT;POA; R$ 3,29 ; R$ 3,72 ;0,94%;0,94%
NATNAT;NAT;NAT; R$ 0,56 ; R$ 1,26 ;0,14%;0,14%
NATJPA;NAT;JPA; R$ 0,91 ; R$ 1,41 ;0,18%;0,18%
NATTHE;NAT;THE; R$ 2,64 ; R$ 3,10 ;0,45%;0,45%
NATFOR;NAT;FOR; R$ 1,84 ; R$ 2,30 ;0,45%;0,45%
NATIMP;NAT;IMP; R$ 2,66 ; R$ 3,12 ;0,66%;0,66%
NATSLZ;NAT;SLZ; R$ 2,58 ; R$ 3,04 ;0,66%;0,66%
PMWPMW;PMW;PMW; R$ 1,57 ; R$ 2,29 ;0,14%;0,14%
PMWGYN;PMW;GYN; R$ 2,08 ; R$ 1,73 ;0,18%;0,18%
PMWSAO;PMW;SAO; R$ 2,79 ; R$ 2,31 ;0,27%;0,27%
PMWSSZ;PMW;SSZ; R$ 3,48 ; R$ 3,08 ;0,27%;0,27%
PMWVDC;PMW;VDC; R$ 3,70 ; R$ 3,29 ;0,27%;0,27%
PMWBAU;PMW;BAU; R$ 3,06 ; R$ 2,78 ;0,27%;0,27%
PMWRAO;PMW;RAO; R$ 3,25 ; R$ 2,81 ;0,27%;0,27%
PMWCWB;PMW;CWB; R$ 3,20 ; R$ 2,81 ;0,37%;0,37%
PMWJOI;PMW;JOI; R$ 2,96 ; R$ 2,58 ;0,37%;0,37%
PMWITN;PMW;ITN; R$ 3,55 ; R$ 3,15 ;0,37%;0,37%
PMWBSB;PMW;BSB; R$ 2,13 ; R$ 1,78 ;0,25%;0,25%
PMWSJP;PMW;SJP; R$ 3,75 ; R$ 3,34 ;0,27%;0,27%
PMWBNU;PMW;BNU; R$ 2,83 ; R$ 2,45 ;0,37%;0,37%
PMWITJ;PMW;ITJ; R$ 2,85 ; R$ 2,47 ;0,37%;0,37%
PMWFES;PMW;FES; R$ 3,62 ; R$ 2,90 ;0,37%;0,37%
PMWPPB;PMW;PPB; R$ 3,82 ; R$ 3,51 ;0,37%;0,37%
PMWFLN;PMW;FLN; R$ 3,17 ; R$ 2,79 ;0,37%;0,37%
PMWUDI;PMW;UDI; R$ 2,91 ; R$ 2,53 ;0,37%;0,37%
PMWMGF;PMW;MGF; R$ 3,09 ; R$ 2,70 ;0,37%;0,37%
PMWLAJ;PMW;LAJ; R$ 3,73 ; R$ 3,32 ;0,37%;0,37%
PMWSSA;PMW;SSA; R$ 3,80 ; R$ 3,39 ;0,37%;0,37%
PMWCCM;PMW;CCM; R$ 4,01 ; R$ 3,59 ;0,37%;0,37%
PMWAJU;PMW;AJU; R$ 4,29 ; R$ 3,66 ;0,45%;0,45%
PMWXAP;PMW;XAP; R$ 3,68 ; R$ 3,28 ;0,45%;0,45%
PMWCXJ;PMW;CXJ; R$ 2,99 ; R$ 2,61 ;0,45%;0,45%
PMWPOA;PMW;POA; R$ 3,28 ; R$ 2,89 ;0,45%;0,45%
PMWPNZ;PMW;PNZ; R$ 4,39 ; R$ 3,96 ;0,45%;0,45%
PMWMCZ;PMW;MCZ; R$ 3,51 ; R$ 3,11 ;0,45%;0,45%
PMWCAU;PMW;CAU; R$ 5,10 ; R$ 4,43 ;0,45%;0,45%
PMWREC;PMW;REC; R$ 3,73 ; R$ 3,32 ;0,66%;0,66%
PMWCGB;PMW;CGB; R$ 5,52 ; R$ 5,04 ;0,27%;0,27%
PMWJPA;PMW;JPA; R$ 3,40 ; R$ 3,00 ;0,66%;0,66%
PMWNAT;PMW;NAT; R$ 3,56 ; R$ 3,16 ;0,66%;0,66%
PMWVIX;PMW;VIX; R$ 3,21 ; R$ 2,83 ;0,37%;0,37%
PMWTHE;PMW;THE; R$ 4,48 ; R$ 4,05 ;0,66%;0,66%
PMWFOR;PMW;FOR; R$ 3,71 ; R$ 3,31 ;0,66%;0,66%
PMWBHZ;PMW;BHZ; R$ 2,96 ; R$ 2,59 ;0,27%;0,27%
PMWCAW;PMW;CAW; R$ 3,61 ; R$ 3,21 ;0,37%;0,37%
PMWDIV;PMW;DIV; R$ 2,56 ; R$ 2,32 ;0,25%;0,25%
PMWJDF;PMW;JDF; R$ 3,51 ; R$ 3,11 ;0,27%;0,27%
PMWIMP;PMW;IMP; R$ 4,50 ; R$ 4,07 ;0,94%;0,94%
PMWSLZ;PMW;SLZ; R$ 4,42 ; R$ 3,99 ;0,94%;0,94%
PMWRIO;PMW;RIO; R$ 3,25 ; R$ 2,86 ;0,27%;0,27%
PMWCGR;PMW;CGR; R$ 4,40 ; R$ 3,97 ;0,37%;0,37%
PMWPSA;PMW;PSA; R$ 3,75 ; R$ 3,44 ;0,27%;0,27%
PMWSJK;PMW;SJK; R$ 3,69 ; R$ 3,28 ;0,25%;0,25%
PMWCPQ;PMW;CPQ; R$ 3,04 ; R$ 2,77 ;0,25%;0,25%
PMWSOD;PMW;SOD; R$ 3,44 ; R$ 3,05 ;0,25%;0,25%
PMWLDB;PMW;LDB; R$ 3,07 ; R$ 2,68 ;0,27%;0,27%
PMWCAC;PMW;CAC; R$ 3,60 ; R$ 3,20 ;0,37%;0,37%
PMWBEL;PMW;BEL; R$ 2,20 ; R$ 2,17 ;0,94%;0,94%
PNZFES;PNZ;FES; R$ 2,68 ; R$ 1,93 ;0,25%;0,25%
PNZITN;PNZ;ITN; R$ 2,73 ; R$ 2,36 ;0,25%;0,25%
PNZVDC;PNZ;VDC; R$ 2,92 ; R$ 2,54 ;0,25%;0,25%
PNZSSA;PNZ;SSA; R$ 2,93 ; R$ 2,55 ;0,25%;0,25%
PNZAJU;PNZ;AJU; R$ 2,71 ; R$ 2,34 ;0,27%;0,27%
PNZCAU;PNZ;CAU; R$ 2,73 ; R$ 2,36 ;0,25%;0,25%
PNZREC;PNZ;REC; R$ 2,48 ; R$ 1,92 ;0,25%;0,25%
PNZVIX;PNZ;VIX; R$ 2,93 ; R$ 2,45 ;0,37%;0,37%
PNZBHZ;PNZ;BHZ; R$ 3,04 ; R$ 2,65 ;0,45%;0,45%
PNZBSB;PNZ;BSB; R$ 3,55 ; R$ 2,96 ;0,45%;0,45%
PNZPMW;PNZ;PMW; R$ 4,62 ; R$ 4,02 ;0,45%;0,45%
PNZCAW;PNZ;CAW; R$ 3,61 ; R$ 3,20 ;0,45%;0,45%
PNZDIV;PNZ;DIV; R$ 3,14 ; R$ 2,75 ;0,45%;0,45%
PNZJDF;PNZ;JDF; R$ 3,71 ; R$ 3,29 ;0,45%;0,45%
PNZGYN;PNZ;GYN; R$ 3,37 ; R$ 2,83 ;0,45%;0,45%
PNZSLZ;PNZ;SLZ; R$ 5,70 ; R$ 4,64 ;0,45%;0,45%
PNZRIO;PNZ;RIO; R$ 3,16 ; R$ 2,77 ;0,45%;0,45%
PNZPSA;PNZ;PSA; R$ 3,43 ; R$ 3,12 ;0,45%;0,45%
PNZSJK;PNZ;SJK; R$ 3,94 ; R$ 3,52 ;0,66%;0,66%
PNZCPQ;PNZ;CPQ; R$ 3,66 ; R$ 3,25 ;0,66%;0,66%
PNZSAO;PNZ;SAO; R$ 3,42 ; R$ 3,02 ;0,66%;0,66%
PNZSSZ;PNZ;SSZ; R$ 4,36 ; R$ 3,92 ;0,66%;0,66%
PNZSOD;PNZ;SOD; R$ 3,78 ; R$ 3,36 ;0,66%;0,66%
PNZBAU;PNZ;BAU; R$ 3,86 ; R$ 3,54 ;0,66%;0,66%
PNZRAO;PNZ;RAO; R$ 3,99 ; R$ 3,56 ;0,66%;0,66%
PNZCWB;PNZ;CWB; R$ 4,09 ; R$ 3,66 ;0,94%;0,94%
PNZJOI;PNZ;JOI; R$ 3,85 ; R$ 3,43 ;0,94%;0,94%
PNZCGB;PNZ;CGB; R$ 6,66 ; R$ 5,99 ;0,94%;0,94%
PNZCGR;PNZ;CGR; R$ 6,09 ; R$ 5,44 ;0,94%;0,94%
PNZSJP;PNZ;SJP; R$ 4,17 ; R$ 3,83 ;0,94%;0,94%
PNZBNU;PNZ;BNU; R$ 3,72 ; R$ 3,30 ;0,94%;0,94%
PNZITJ;PNZ;ITJ; R$ 3,74 ; R$ 3,32 ;0,94%;0,94%
PNZLDB;PNZ;LDB; R$ 3,96 ; R$ 3,53 ;0,94%;0,94%
PNZPPB;PNZ;PPB; R$ 4,62 ; R$ 4,27 ;0,94%;0,94%
PNZFLN;PNZ;FLN; R$ 4,45 ; R$ 4,01 ;0,94%;0,94%
PNZUDI;PNZ;UDI; R$ 3,80 ; R$ 3,38 ;0,66%;0,66%
PNZMGF;PNZ;MGF; R$ 3,98 ; R$ 3,55 ;0,94%;0,94%
PNZLAJ;PNZ;LAJ; R$ 5,04 ; R$ 4,58 ;0,94%;0,94%
PNZBEL;PNZ;BEL; R$ 3,85 ; R$ 3,43 ;0,94%;0,94%
PNZCCM;PNZ;CCM; R$ 5,33 ; R$ 4,85 ;0,94%;0,94%
PNZCAC;PNZ;CAC; R$ 4,49 ; R$ 4,05 ;0,94%;0,94%
PNZXAP;PNZ;XAP; R$ 5,04 ; R$ 4,58 ;0,94%;0,94%
PNZCXJ;PNZ;CXJ; R$ 3,88 ; R$ 3,45 ;0,94%;0,94%
PNZPOA;PNZ;POA; R$ 4,63 ; R$ 4,18 ;0,94%;0,94%
PNZPNZ;PNZ;PNZ; R$ 1,51 ; R$ 2,13 ;0,14%;0,14%
PNZMCZ;PNZ;MCZ; R$ 2,29 ; R$ 1,93 ;0,27%;0,27%
PNZJPA;PNZ;JPA; R$ 2,26 ; R$ 1,90 ;0,37%;0,37%
PNZNAT;PNZ;NAT; R$ 2,44 ; R$ 2,07 ;0,37%;0,37%
PNZTHE;PNZ;THE; R$ 3,53 ; R$ 3,13 ;0,37%;0,37%
PNZFOR;PNZ;FOR; R$ 2,49 ; R$ 2,12 ;0,37%;0,37%
PNZIMP;PNZ;IMP; R$ 3,55 ; R$ 3,15 ;0,45%;0,45%
POAPOA;POA;POA; R$ 0,68 ; R$ 1,22 ;0,14%;0,14%
POACXJ;POA;CXJ; R$ 1,18 ; R$ 1,59 ;0,18%;0,18%
POAJOI;POA;JOI; R$ 1,39 ; R$ 1,79 ;0,25%;0,25%
POACWB;POA;CWB; R$ 1,53 ; R$ 1,94 ;0,25%;0,25%
POABNU;POA;BNU; R$ 1,76 ; R$ 2,15 ;0,25%;0,25%
POAITJ;POA;ITJ; R$ 1,04 ; R$ 1,47 ;0,25%;0,25%
POAFLN;POA;FLN; R$ 1,59 ; R$ 2,01 ;0,25%;0,25%
POALAJ;POA;LAJ; R$ 2,58 ; R$ 2,94 ;0,25%;0,25%
POACCM;POA;CCM; R$ 2,43 ; R$ 2,82 ;0,25%;0,25%
POALDB;POA;LDB; R$ 2,46 ; R$ 2,81 ;0,27%;0,27%
POASAO;POA;SAO; R$ 1,76 ; R$ 2,15 ;0,27%;0,27%
POASSZ;POA;SSZ; R$ 2,68 ; R$ 3,04 ;0,27%;0,27%
POAXAP;POA;XAP; R$ 2,58 ; R$ 2,94 ;0,27%;0,27%
POACPQ;POA;CPQ; R$ 1,80 ; R$ 2,20 ;0,27%;0,27%
POASJK;POA;SJK; R$ 2,30 ; R$ 2,67 ;0,27%;0,27%
POASOD;POA;SOD; R$ 1,88 ; R$ 2,27 ;0,27%;0,27%
POAMGF;POA;MGF; R$ 2,59 ; R$ 2,95 ;0,27%;0,27%
POACAC;POA;CAC; R$ 2,64 ; R$ 2,99 ;0,27%;0,27%
POAPSA;POA;PSA; R$ 3,13 ; R$ 3,48 ;0,27%;0,27%
POARAO;POA;RAO; R$ 2,09 ; R$ 2,48 ;0,27%;0,27%
POABAU;POA;BAU; R$ 2,23 ; R$ 2,62 ;0,27%;0,27%
POASJP;POA;SJP; R$ 2,97 ; R$ 3,31 ;0,37%;0,37%
POAPPB;POA;PPB; R$ 3,12 ; R$ 3,47 ;0,37%;0,37%
POARIO;POA;RIO; R$ 2,13 ; R$ 2,50 ;0,27%;0,27%
POAJDF;POA;JDF; R$ 2,69 ; R$ 3,04 ;0,37%;0,37%
POADIV;POA;DIV; R$ 2,14 ; R$ 2,51 ;0,37%;0,37%
POABHZ;POA;BHZ; R$ 2,09 ; R$ 2,47 ;0,37%;0,37%
POAUDI;POA;UDI; R$ 1,71 ; R$ 2,11 ;0,37%;0,37%
POACAW;POA;CAW; R$ 2,53 ; R$ 2,89 ;0,37%;0,37%
POAGYN;POA;GYN; R$ 1,89 ; R$ 2,23 ;0,37%;0,37%
POAVIX;POA;VIX; R$ 1,83 ; R$ 2,22 ;0,37%;0,37%
POABSB;POA;BSB; R$ 1,77 ; R$ 2,15 ;0,45%;0,45%
POAVDC;POA;VDC; R$ 2,67 ; R$ 3,04 ;0,45%;0,45%
POAITN;POA;ITN; R$ 2,78 ; R$ 3,13 ;0,66%;0,66%
POACGR;POA;CGR; R$ 3,33 ; R$ 3,66 ;0,66%;0,66%
POAPMW;POA;PMW; R$ 2,89 ; R$ 3,24 ;0,66%;0,66%
POACGB;POA;CGB; R$ 3,54 ; R$ 3,87 ;0,66%;0,66%
POASSA;POA;SSA; R$ 2,07 ; R$ 2,46 ;0,66%;0,66%
POAFES;POA;FES; R$ 2,38 ; R$ 2,72 ;0,66%;0,66%
POAPNZ;POA;PNZ; R$ 2,85 ; R$ 3,22 ;0,94%;0,94%
POAAJU;POA;AJU; R$ 2,42 ; R$ 2,79 ;0,94%;0,94%
POAMCZ;POA;MCZ; R$ 2,13 ; R$ 2,51 ;0,94%;0,94%
POAIMP;POA;IMP; R$ 2,60 ; R$ 2,99 ;0,94%;0,94%
POACAU;POA;CAU; R$ 3,21 ; R$ 3,55 ;0,94%;0,94%
POATHE;POA;THE; R$ 3,10 ; R$ 3,45 ;0,94%;0,94%
POAREC;POA;REC; R$ 2,27 ; R$ 2,65 ;0,94%;0,94%
POAJPA;POA;JPA; R$ 2,09 ; R$ 2,48 ;0,94%;0,94%
POANAT;POA;NAT; R$ 2,26 ; R$ 2,64 ;0,94%;0,94%
POASLZ;POA;SLZ; R$ 3,39 ; R$ 3,72 ;0,94%;0,94%
POAFOR;POA;FOR; R$ 2,40 ; R$ 2,77 ;0,94%;0,94%
POABEL;POA;BEL; R$ 2,26 ; R$ 2,59 ;0,94%;0,94%
PPBPPB;PPB;PPB; R$ 1,44 ; R$ 1,76 ;0,14%;0,14%
PPBCPQ;PPB;CPQ; R$ 1,26 ; R$ 1,59 ;0,18%;0,18%
PPBSJK;PPB;SJK; R$ 1,60 ; R$ 1,91 ;0,18%;0,18%
PPBSOD;PPB;SOD; R$ 1,35 ; R$ 1,68 ;0,18%;0,18%
PPBSAO;PPB;SAO; R$ 1,73 ; R$ 2,04 ;0,25%;0,25%
PPBPSA;PPB;PSA; R$ 2,65 ; R$ 2,93 ;0,25%;0,25%
PPBSSZ;PPB;SSZ; R$ 2,68 ; R$ 2,96 ;0,25%;0,25%
PPBSJP;PPB;SJP; R$ 1,31 ; R$ 1,64 ;0,18%;0,18%
PPBRAO;PPB;RAO; R$ 1,73 ; R$ 2,04 ;0,25%;0,25%
PPBBAU;PPB;BAU; R$ 2,00 ; R$ 2,31 ;0,25%;0,25%
PPBCWB;PPB;CWB; R$ 1,84 ; R$ 2,15 ;0,25%;0,25%
PPBDIV;PPB;DIV; R$ 1,80 ; R$ 2,11 ;0,25%;0,25%
PPBRIO;PPB;RIO; R$ 1,91 ; R$ 2,22 ;0,25%;0,25%
PPBJDF;PPB;JDF; R$ 2,35 ; R$ 2,65 ;0,25%;0,25%
PPBJOI;PPB;JOI; R$ 1,61 ; R$ 1,93 ;0,25%;0,25%
PPBLDB;PPB;LDB; R$ 1,96 ; R$ 2,26 ;0,25%;0,25%
PPBUDI;PPB;UDI; R$ 1,66 ; R$ 1,98 ;0,25%;0,25%
PPBBHZ;PPB;BHZ; R$ 1,84 ; R$ 2,15 ;0,25%;0,25%
PPBBNU;PPB;BNU; R$ 1,60 ; R$ 1,92 ;0,27%;0,27%
PPBITJ;PPB;ITJ; R$ 1,50 ; R$ 1,82 ;0,27%;0,27%
PPBMGF;PPB;MGF; R$ 1,71 ; R$ 2,02 ;0,27%;0,27%
PPBFLN;PPB;FLN; R$ 2,22 ; R$ 2,51 ;0,27%;0,27%
PPBCAW;PPB;CAW; R$ 2,27 ; R$ 2,56 ;0,27%;0,27%
PPBLAJ;PPB;LAJ; R$ 2,80 ; R$ 3,08 ;0,27%;0,27%
PPBCCM;PPB;CCM; R$ 3,09 ; R$ 3,35 ;0,27%;0,27%
PPBCAC;PPB;CAC; R$ 2,25 ; R$ 2,55 ;0,27%;0,27%
PPBVIX;PPB;VIX; R$ 1,63 ; R$ 1,95 ;0,27%;0,27%
PPBXAP;PPB;XAP; R$ 2,80 ; R$ 3,08 ;0,27%;0,27%
PPBCXJ;PPB;CXJ; R$ 2,18 ; R$ 2,48 ;0,37%;0,37%
PPBPOA;PPB;POA; R$ 2,39 ; R$ 2,68 ;0,37%;0,37%
PPBBSB;PPB;BSB; R$ 1,41 ; R$ 1,74 ;0,27%;0,27%
PPBCGR;PPB;CGR; R$ 3,16 ; R$ 3,42 ;0,27%;0,27%
PPBGYN;PPB;GYN; R$ 1,83 ; R$ 2,14 ;0,37%;0,37%
PPBVDC;PPB;VDC; R$ 2,30 ; R$ 2,59 ;0,37%;0,37%
PPBITN;PPB;ITN; R$ 2,11 ; R$ 2,41 ;0,37%;0,37%
PPBCGB;PPB;CGB; R$ 3,03 ; R$ 3,29 ;0,37%;0,37%
PPBPMW;PPB;PMW; R$ 2,42 ; R$ 2,70 ;0,45%;0,45%
PPBFES;PPB;FES; R$ 1,23 ; R$ 1,57 ;0,45%;0,45%
PPBSSA;PPB;SSA; R$ 2,13 ; R$ 2,43 ;0,45%;0,45%
PPBAJU;PPB;AJU; R$ 1,75 ; R$ 2,07 ;0,66%;0,66%
PPBPNZ;PPB;PNZ; R$ 3,19 ; R$ 3,45 ;0,66%;0,66%
PPBMCZ;PPB;MCZ; R$ 1,70 ; R$ 2,01 ;0,66%;0,66%
PPBIMP;PPB;IMP; R$ 2,82 ; R$ 3,09 ;0,66%;0,66%
PPBTHE;PPB;THE; R$ 2,80 ; R$ 3,07 ;0,66%;0,66%
PPBCAU;PPB;CAU; R$ 3,05 ; R$ 3,31 ;0,94%;0,94%
PPBJPA;PPB;JPA; R$ 1,66 ; R$ 1,97 ;0,94%;0,94%
PPBREC;PPB;REC; R$ 2,22 ; R$ 2,52 ;0,94%;0,94%
PPBSLZ;PPB;SLZ; R$ 2,74 ; R$ 3,02 ;0,94%;0,94%
PPBNAT;PPB;NAT; R$ 1,84 ; R$ 2,15 ;0,94%;0,94%
PPBFOR;PPB;FOR; R$ 1,76 ; R$ 2,07 ;0,94%;0,94%
PPBBEL;PPB;BEL; R$ 1,10 ; R$ 1,44 ;0,94%;0,94%
PSAPSA;PSA;PSA; R$ 1,66 ; R$ 2,35 ;0,14%;0,14%
PSACPQ;PSA;CPQ; R$ 2,84 ; R$ 2,46 ;0,25%;0,25%
PSASJK;PSA;SJK; R$ 3,12 ; R$ 2,73 ;0,25%;0,25%
PSASOD;PSA;SOD; R$ 2,95 ; R$ 2,57 ;0,25%;0,25%
PSAUDI;PSA;UDI; R$ 2,41 ; R$ 2,05 ;0,25%;0,25%
PSASAO;PSA;SAO; R$ 1,95 ; R$ 1,86 ;0,25%;0,25%
PSASSZ;PSA;SSZ; R$ 3,54 ; R$ 3,13 ;0,25%;0,25%
PSARAO;PSA;RAO; R$ 3,17 ; R$ 2,77 ;0,25%;0,25%
PSABAU;PSA;BAU; R$ 3,12 ; R$ 2,84 ;0,25%;0,25%
PSASJP;PSA;SJP; R$ 2,86 ; R$ 2,74 ;0,25%;0,25%
PSAPPB;PSA;PPB; R$ 3,02 ; R$ 2,94 ;0,27%;0,27%
PSALDB;PSA;LDB; R$ 3,61 ; R$ 3,04 ;0,27%;0,27%
PSAMGF;PSA;MGF; R$ 3,28 ; R$ 2,89 ;0,27%;0,27%
PSACAC;PSA;CAC; R$ 3,67 ; R$ 3,26 ;0,37%;0,37%
PSAPOA;PSA;POA; R$ 3,35 ; R$ 2,95 ;0,37%;0,37%
PSARIO;PSA;RIO; R$ 2,04 ; R$ 1,69 ;0,18%;0,18%
PSACAW;PSA;CAW; R$ 2,54 ; R$ 2,18 ;0,25%;0,25%
PSAGYN;PSA;GYN; R$ 2,13 ; R$ 1,68 ;0,25%;0,25%
PSAVIX;PSA;VIX; R$ 2,41 ; R$ 2,05 ;0,25%;0,25%
PSACWB;PSA;CWB; R$ 3,14 ; R$ 2,60 ;0,27%;0,27%
PSABSB;PSA;BSB; R$ 2,28 ; R$ 1,92 ;0,27%;0,27%
PSAJOI;PSA;JOI; R$ 3,19 ; R$ 2,80 ;0,27%;0,27%
PSAITJ;PSA;ITJ; R$ 3,08 ; R$ 2,69 ;0,27%;0,27%
PSABNU;PSA;BNU; R$ 3,18 ; R$ 2,78 ;0,27%;0,27%
PSAFLN;PSA;FLN; R$ 3,24 ; R$ 2,85 ;0,27%;0,27%
PSAFES;PSA;FES; R$ 1,85 ; R$ 1,46 ;0,27%;0,27%
PSAITN;PSA;ITN; R$ 2,64 ; R$ 2,27 ;0,27%;0,27%
PSAVDC;PSA;VDC; R$ 2,83 ; R$ 2,45 ;0,27%;0,27%
PSALAJ;PSA;LAJ; R$ 3,80 ; R$ 3,38 ;0,27%;0,27%
PSASSA;PSA;SSA; R$ 2,39 ; R$ 2,02 ;0,27%;0,27%
PSACCM;PSA;CCM; R$ 4,00 ; R$ 3,58 ;0,27%;0,27%
PSAXAP;PSA;XAP; R$ 4,04 ; R$ 3,52 ;0,37%;0,37%
PSAAJU;PSA;AJU; R$ 2,28 ; R$ 1,93 ;0,37%;0,37%
PSACXJ;PSA;CXJ; R$ 3,05 ; R$ 2,59 ;0,37%;0,37%
PSAPNZ;PSA;PNZ; R$ 3,37 ; R$ 2,97 ;0,37%;0,37%
PSACGR;PSA;CGR; R$ 4,40 ; R$ 3,96 ;0,37%;0,37%
PSAPMW;PSA;PMW; R$ 3,56 ; R$ 3,16 ;0,37%;0,37%
PSACGB;PSA;CGB; R$ 4,61 ; R$ 4,16 ;0,37%;0,37%
PSAMCZ;PSA;MCZ; R$ 2,23 ; R$ 1,87 ;0,37%;0,37%
PSACAU;PSA;CAU; R$ 3,23 ; R$ 2,84 ;0,37%;0,37%
PSAREC;PSA;REC; R$ 2,05 ; R$ 1,85 ;0,45%;0,45%
PSAJPA;PSA;JPA; R$ 2,19 ; R$ 1,83 ;0,45%;0,45%
PSANAT;PSA;NAT; R$ 2,37 ; R$ 2,01 ;0,45%;0,45%
PSATHE;PSA;THE; R$ 3,47 ; R$ 3,06 ;0,45%;0,45%
