UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
RS;ELDORADO DO SUL;RSELDORADO DO SUL;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
PA;ELDORADO DOS CARAJAS;PAELDORADO DOS CARAJAS;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
PI;ELESBAO VELOSO;PIELESBAO VELOSO;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
SP;ELIAS FAUSTO;SPELIAS FAUSTO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
PI;ELISEU MARTINS;PIELISEU MARTINS;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
SP;ELISIARIO;SPELISIARIO;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
BA;ELISIO MEDRADO;BAELISIO MEDRADO;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
MG;ELOI MENDES;MGELOI MENDES;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PB;EMAS;PBEMAS;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
SP;EMBAUBA;SPEMBAUBA;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
SP;EMBU DAS ARTES;SPEMBU DAS ARTES;SPC;Capital;C;Sudeste;SAO;SÆo Paulo - SP
SP;EMBU-GUACU;SPEMBU-GUACU;SPC;Capital;C;Sudeste;SAO;SÆo Paulo - SP
SP;EMILIANOPOLIS;SPEMILIANOPOLIS;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
RS;ENCANTADO;RSENCANTADO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
RN;ENCANTO;RNENCANTO;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
BA;ENCRUZILHADA;BAENCRUZILHADA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
RS;ENCRUZILHADA DO SUL;RSENCRUZILHADA DO SUL;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
PR;ENEAS MARQUES;PRENEAS MARQUES;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
PR;ENGENHEIRO BELTRAO;PRENGENHEIRO BELTRAO;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
MG;ENGENHEIRO CALDAS;MGENGENHEIRO CALDAS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SP;ENGENHEIRO COELHO;SPENGENHEIRO COELHO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;ENGENHEIRO NAVARRO;MGENGENHEIRO NAVARRO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;ENGENHO VELHO;RSENGENHO VELHO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;ENTRE FOLHAS;MGENTRE FOLHAS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
BA;ENTRE RIOS;BAENTRE RIOS;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
SC;ENTRE RIOS;SCENTRE RIOS;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
MG;ENTRE RIOS DE MINAS;MGENTRE RIOS DE MINAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PR;ENTRE RIOS DO OESTE;PRENTRE RIOS DO OESTE;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
RS;ENTRE RIOS DO SUL;RSENTRE RIOS DO SUL;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
RS;ENTRE-IJUIS;RSENTRE-IJUIS;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
RN;EQUADOR;RNEQUADOR;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
RS;EREBANGO;RSEREBANGO;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
RS;ERECHIM;RSERECHIM;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
CE;ERERE;CEERERE;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
BA;ERICO CARDOSO;BAERICO CARDOSO;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
SC;ERMO;SCERMO;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
RS;ERNESTINA;RSERNESTINA;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
RS;ERVAL GRANDE;RSERVAL GRANDE;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
RS;ERVAL SECO;RSERVAL SECO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
SC;ERVAL VELHO;SCERVAL VELHO;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
MG;ERVALIA;MGERVALIA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PE;ESCADA;PEESCADA;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
RS;ESMERALDA;RSESMERALDA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;ESMERALDAS;MGESMERALDAS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
